target_kw,mp_id,donor_mp_id,injected_daily_kwh,injected_peak_kw,night_noise_kwh_slot,recovered,donor_based
0.5,83026,64501,1.2575535774230957,2.4916574954986572,0.0274,0,True
0.5,64399,124154,8.598257064819336,0.8016313314437866,0.0074,0,True
0.5,140468,72042,1.6433188915252686,1.5949031114578247,0.0141,0,True
0.5,88975,129791,11.885516166687012,0.7929117679595947,0.0,0,True
0.5,65383,38247,2.029189109802246,2.53302001953125,0.0104,0,True
0.5,65094,122261,1.9120573997497559,2.358799934387207,0.0104,0,True
0.5,135882,64501,1.2438876628875732,2.5845751762390137,0.0193,0,True
0.5,97995,94429,1.3206336498260498,2.3931612968444824,0.0156,0,True
0.5,95325,39692,4.496411323547363,1.3828537464141846,0.0015,0,True
0.5,138049,38247,1.7274610996246338,2.627612829208374,0.0148,0,True
0.5,117485,134329,5.185279369354248,0.8604893684387207,0.0089,0,True
0.5,50026,38247,1.8459268808364868,2.4044575691223145,0.0074,0,True
0.5,48314,38247,1.9458404779434204,2.607572317123413,0.0,0,True
0.5,84941,38247,1.81826651096344,2.7198827266693115,0.0119,0,True
0.5,131655,52540,12.463534355163574,2.6699581146240234,0.0,0,True
0.5,89232,64501,1.3190995454788208,2.4916574954986572,0.0163,0,True
0.5,120032,39692,4.750802516937256,1.3053759336471558,0.0059,0,True
0.5,125015,80759,8.148600578308105,1.073627233505249,0.0282,1,True
0.5,53146,80759,7.4795145988464355,1.1701931953430176,0.0059,0,True
0.5,27466,124154,8.425968170166016,0.802431046962738,0.0074,0,True
0.5,93552,80759,8.524425506591797,1.19989013671875,0.0148,1,True
0.5,63846,94429,1.326250672340393,2.3931612968444824,0.0163,0,True
0.5,59840,52540,14.271379470825195,2.408358573913574,0.0148,0,True
0.5,126579,53638,75.2804946899414,4.245416164398193,0.0089,0,True
0.5,42408,37255,1.738905429840088,1.883612871170044,0.0133,0,True
0.5,48170,53638,78.54723358154297,4.801028251647949,0.0059,0,True
0.5,93932,38247,1.924940586090088,2.805805206298828,0.0044,0,True
0.5,109607,53638,69.69676208496094,4.416551113128662,0.0119,0,True
0.5,111010,94429,1.2968409061431885,2.3851611614227295,0.0326,0,True
0.5,107740,53638,86.08819580078125,4.996824264526367,0.0133,1,True
0.5,125901,72042,1.8643829822540283,1.4979387521743774,0.0089,0,True
0.8,130585,135734,2.1293985843658447,2.059053897857666,0.2135,0,True
0.8,53628,52540,13.746909141540527,2.7573843002319336,0.5337,1,True
0.8,120027,64665,2.2533187866210938,3.9268035888671875,11.2641,0,True
0.8,134355,89745,2.48919677734375,3.7374258041381836,1.4352,0,True
0.8,53911,80759,6.538205146789551,1.9299488067626953,0.2402,0,True
0.8,50922,124154,8.551194190979004,1.2361831665039062,0.4507,0,True
0.8,45390,53638,64.16820526123047,4.963293075561523,2.2261,0,True
0.8,42451,64501,1.4364806413650513,3.2536659240722656,0.6605,0,True
0.8,115938,64501,1.4593266248703003,3.3429620265960693,0.0,0,True
0.8,49688,52540,21.617176055908203,3.209869146347046,0.0104,0,True
0.8,109606,37255,1.5902820825576782,2.836493492126465,0.0119,0,True
0.8,59324,63027,4.338414669036865,2.5598373413085938,0.0623,0,True
0.8,119204,39692,4.748597621917725,2.2139015197753906,0.0119,0,True
0.8,40596,80759,7.880678176879883,1.767054557800293,0.0267,1,True
0.8,108942,37255,1.4910895824432373,2.848593235015869,0.0148,0,True
0.8,79328,89745,2.5580739974975586,3.3842666149139404,0.0,0,True
0.8,43023,80759,8.308772087097168,1.7237777709960938,0.003,1,True
0.8,43886,38247,1.6301801204681396,4.240179538726807,0.0297,0,True
0.8,130959,80759,7.765793323516846,1.8360064029693604,0.003,0,True
0.8,81628,39692,4.379830360412598,2.0775599479675293,0.0,0,True
0.8,103625,64501,1.4138613939285278,3.2891266345977783,0.0119,0,True
0.8,139899,94429,1.2622092962265015,2.5379672050476074,0.0089,0,True
0.8,50750,72042,1.6422842741012573,2.5406527519226074,0.0089,0,True
0.8,60129,122261,2.0834474563598633,2.970087766647339,0.0074,0,True
0.8,50906,52540,15.347349166870117,2.7970216274261475,0.0,0,True
0.8,62671,89745,2.8131561279296875,3.343639612197876,0.0208,0,True
0.8,80891,64501,1.3527066707611084,3.2536675930023193,0.0341,0,True
0.8,108740,134329,4.445714473724365,2.6429457664489746,0.0104,0,True
0.8,86463,53638,83.97085571289062,5.3695526123046875,0.0504,1,True
0.8,57713,52540,20.53186798095703,3.0114428997039795,0.0044,0,True
0.8,143363,64665,2.0913078784942627,5.526321887969971,0.0119,0,True
0.8,40306,135734,2.4051480293273926,2.059053897857666,0.0,0,True
