target_kw,mp_id,donor_mp_id,injected_daily_kwh,injected_peak_kw,night_noise_kwh_slot,recovered,donor_based
0.5,42140,128655,1.7572259902954102,0.5536667108535767,0.0074,1,True
0.5,109710,63027,3.7255804538726807,0.513877272605896,0.0044,0,True
0.5,137114,134329,3.9548070430755615,0.532576858997345,0.0,1,True
0.5,43312,72042,1.7502583265304565,0.5109449625015259,0.0104,1,True
0.5,40597,128655,1.6713708639144897,0.5736666321754456,0.0104,1,True
0.5,169014,72042,1.6390966176986694,0.5042848587036133,0.0104,1,True
0.5,144213,134329,4.6340813636779785,0.5210904479026794,0.0044,1,True
0.5,91023,122261,2.283951759338379,0.517230749130249,0.0148,1,True
0.5,121469,94429,1.1937742233276367,0.5388889312744141,0.0178,1,True
0.5,89263,72042,1.6168709993362427,0.5109450221061707,0.0208,1,True
0.5,51261,94429,1.1738871335983276,0.5202221870422363,0.0178,1,True
0.5,138369,122261,2.1310644149780273,0.521538257598877,0.0282,1,True
0.5,135456,130287,1.0643547773361206,0.495555579662323,0.003,1,True
0.5,163080,94429,1.1904032230377197,0.5202221870422363,0.003,1,True
0.5,150802,128655,1.6783225536346436,0.5616666078567505,0.0089,1,True
0.5,159000,122261,2.1494033336639404,0.5196923613548279,0.0133,1,True
0.5,95138,154455,6.634435653686523,0.5627499222755432,0.0074,0,True
0.5,46224,72042,1.687193512916565,0.5062484741210938,0.0089,1,True
0.5,160920,39692,3.9178707599639893,0.6831806302070618,0.0074,1,True
0.5,141596,72042,1.7775484323501587,0.5154948234558105,0.0133,1,True
0.5,160729,130287,1.0827418565750122,0.5008889436721802,0.0148,1,True
0.5,150334,154455,7.542774677276611,0.5996495485305786,0.0133,0,True
0.5,82945,94429,1.1936129331588745,0.5282223224639893,0.0119,1,True
0.5,142213,39692,3.7402749061584473,0.6661441922187805,0.0044,1,True
0.5,169809,46952,2.3123230934143066,0.5855162739753723,0.0104,1,True
0.5,87134,39692,3.778620719909668,0.6374616026878357,0.0074,1,True
