plz,n_buildings,n_hotwater_hp,n_separate_wpb,n_known,n_small_air_boiler,gwr_hp_rate,gwr_separate_wpb_rate,gwr_hp_rate_known,gwr_hp_rate_including_small_air
5322,458,100,3,458,0,0.2183406113537118,0.006550218340611353,0.2183406113537118,0.2183406113537118
5323,242,52,1,240,0,0.21487603305785125,0.004132231404958678,0.21666666666666667,0.21487603305785125
5324,348,109,1,348,0,0.3132183908045977,0.0028735632183908046,0.3132183908045977,0.3132183908045977
5325,393,107,2,393,0,0.272264631043257,0.005089058524173028,0.272264631043257,0.272264631043257
5326,262,45,2,260,0,0.1717557251908397,0.007633587786259542,0.17307692307692307,0.1717557251908397
5330,1016,129,1,1015,0,0.12696850393700787,0.000984251968503937,0.1270935960591133,0.12696850393700787
5332,322,32,6,321,0,0.09937888198757763,0.018633540372670808,0.09968847352024922,0.09937888198757763
5333,110,26,0,110,0,0.23636363636363636,0.0,0.23636363636363636,0.23636363636363636
5334,65,12,0,65,0,0.18461538461538463,0.0,0.18461538461538463,0.18461538461538463
5400,2072,261,11,2064,0,0.12596525096525096,0.005308880308880309,0.12645348837209303,0.12596525096525096
5404,1,0,0,1,0,0.0,0.0,0.0,0.0
5405,555,58,9,553,0,0.1045045045045045,0.016216216216216217,0.10488245931283906,0.1045045045045045
5406,597,94,2,557,0,0.1574539363484087,0.0033500837520938024,0.1687612208258528,0.1574539363484087
5408,776,197,2,775,0,0.2538659793814433,0.002577319587628866,0.2541935483870968,0.2538659793814433
5412,1184,278,1,1183,0,0.23479729729729729,0.0008445945945945946,0.23499577345731193,0.23479729729729729
5413,764,164,5,764,0,0.21465968586387435,0.006544502617801047,0.21465968586387435,0.21465968586387435
5415,1183,162,7,1175,0,0.13693998309382924,0.005917159763313609,0.13787234042553193,0.13693998309382924
5416,396,36,7,396,0,0.09090909090909091,0.017676767676767676,0.09090909090909091,0.09090909090909091
5417,1447,140,8,1440,0,0.0967519004837595,0.0055286800276434,0.09722222222222222,0.0967519004837595
5420,1114,275,12,1113,0,0.24685816876122083,0.010771992818671455,0.24707996406109614,0.24685816876122083
5423,321,68,18,319,0,0.2118380062305296,0.056074766355140186,0.21316614420062696,0.2118380062305296
5425,463,83,2,462,0,0.17926565874730022,0.004319654427645789,0.17965367965367965,0.17926565874730022
5426,784,193,11,777,0,0.2461734693877551,0.01403061224489796,0.2483912483912484,0.2461734693877551
5430,3379,517,15,3341,0,0.15300384729209826,0.004439183190292986,0.15474408859622868,0.15300384729209826
5432,886,141,3,875,0,0.15914221218961624,0.003386004514672686,0.16114285714285714,0.15914221218961624
5436,1524,326,10,1515,0,0.21391076115485563,0.006561679790026247,0.2151815181518152,0.21391076115485563
5442,1051,210,8,1040,0,0.19980970504281637,0.007611798287345386,0.20192307692307693,0.19980970504281637
5443,790,218,3,785,0,0.2759493670886076,0.0037974683544303796,0.27770700636942675,0.2759493670886076
5444,502,44,3,500,0,0.08764940239043825,0.00597609561752988,0.088,0.08764940239043825
5445,280,61,1,280,0,0.21785714285714286,0.0035714285714285713,0.21785714285714286,0.21785714285714286
5452,925,108,2,913,0,0.11675675675675676,0.002162162162162162,0.11829134720700986,0.11675675675675676
5453,608,89,5,608,0,0.14638157894736842,0.008223684210526315,0.14638157894736842,0.14638157894736842
5454,495,109,5,495,0,0.2202020202020202,0.010101010101010102,0.2202020202020202,0.2202020202020202
5462,204,56,2,204,0,0.27450980392156865,0.00980392156862745,0.27450980392156865,0.27450980392156865
5463,110,18,1,109,0,0.16363636363636364,0.00909090909090909,0.1651376146788991,0.16363636363636364
5464,101,26,0,100,0,0.25742574257425743,0.0,0.26,0.25742574257425743
5465,93,10,0,91,0,0.10752688172043011,0.0,0.10989010989010989,0.10752688172043011
5466,117,11,4,117,0,0.09401709401709402,0.03418803418803419,0.09401709401709402,0.09401709401709402
5467,149,45,0,149,0,0.30201342281879195,0.0,0.30201342281879195,0.30201342281879195
5502,845,176,6,840,0,0.20828402366863905,0.007100591715976331,0.20952380952380953,0.20828402366863905
