plz,n_meters,n_flagged,flag_rate,n_buildings,n_hotwater_hp,n_known,n_small_air_boiler,gwr_hp_rate,gwr_hp_rate_known,gwr_hp_rate_including_small_air
5304,1261,17,0.013481363996827915,643,95,642,0,0.1477449455676516,0.1479750778816199,0.1477449455676516
5305,184,3,0.016304347826086956,119,20,118,0,0.1680672268907563,0.1694915254237288,0.1680672268907563
5306,711,8,0.011251758087201125,370,120,369,0,0.3243243243243243,0.3252032520325203,0.3243243243243243
5312,1793,22,0.012269938650306749,827,187,823,0,0.2261185006045949,0.2272174969623329,0.2261185006045949
5313,2078,27,0.012993262752646775,952,143,938,0,0.1502100840336134,0.1524520255863539,0.1502100840336134
5314,2061,18,0.008733624454148471,616,57,611,0,0.0925324675324675,0.0932896890343698,0.0925324675324675
5316,1077,11,0.01021355617455896,613,110,611,0,0.1794453507340946,0.1800327332242225,0.1794453507340946
5322,4,0,0.0,458,100,458,0,0.2183406113537118,0.2183406113537118,0.2183406113537118
5324,391,5,0.01278772378516624,348,108,348,0,0.3103448275862069,0.3103448275862069,0.3103448275862069
5325,1,0,0.0,393,107,393,0,0.272264631043257,0.272264631043257,0.272264631043257
5330,2928,26,0.008879781420765027,1016,129,1015,0,0.1269685039370078,0.1270935960591133,0.1269685039370078
5332,503,11,0.02186878727634195,322,32,321,0,0.0993788819875776,0.0996884735202492,0.0993788819875776
5334,100,0,0.0,65,12,65,0,0.1846153846153846,0.1846153846153846,0.1846153846153846
5425,28,0,0.0,463,83,462,0,0.1792656587473002,0.1796536796536796,0.1792656587473002
5426,1486,26,0.017496635262449527,784,193,777,0,0.2461734693877551,0.2483912483912484,0.2461734693877551
5443,2547,33,0.012956419316843345,790,218,785,0,0.2759493670886076,0.2777070063694267,0.2759493670886076
5445,47,1,0.02127659574468085,280,61,280,0,0.2178571428571428,0.2178571428571428,0.2178571428571428
5452,1059,19,0.01794145420207743,925,108,913,0,0.1167567567567567,0.1182913472070098,0.1167567567567567
5454,5,0,0.0,495,109,495,0,0.2202020202020202,0.2202020202020202,0.2202020202020202
5462,10,0,0.0,204,56,204,0,0.2745098039215686,0.2745098039215686,0.2745098039215686
5464,202,1,0.0049504950495049506,101,26,100,0,0.2574257425742574,0.26,0.2574257425742574
5467,287,5,0.017421602787456445,149,45,149,0,0.3020134228187919,0.3020134228187919,0.3020134228187919
5504,1679,10,0.005955926146515783,739,241,737,0,0.3261163734776725,0.3270013568521031,0.3261163734776725
5505,505,5,0.009900990099009901,197,44,197,0,0.2233502538071066,0.2233502538071066,0.2233502538071066
5506,1214,10,0.008237232289950576,575,109,574,0,0.1895652173913043,0.1898954703832752,0.1895652173913043
5507,5,0,0.0,1039,222,1012,0,0.2136669874879692,0.2193675889328063,0.2136669874879692
5522,722,9,0.012465373961218837,432,83,432,0,0.1921296296296296,0.1921296296296296,0.1921296296296296
5600,376,2,0.005319148936170213,1902,303,1892,0,0.1593059936908517,0.1601479915433404,0.1593059936908517
5604,11,0,0.0,378,107,377,0,0.2830687830687831,0.2838196286472148,0.2830687830687831
5605,138,2,0.014492753623188406,951,211,948,0,0.2218717139852786,0.2225738396624472,0.2218717139852786
5607,1408,25,0.01775568181818182,786,174,765,0,0.2213740458015267,0.2274509803921568,0.2213740458015267
5608,1246,14,0.011235955056179775,554,136,528,0,0.2454873646209386,0.2575757575757575,0.2454873646209386
5614,85,0,0.0,862,286,861,0,0.3317865429234338,0.3321718931475029,0.3317865429234338
5615,2,0,0.0,646,211,642,0,0.326625386996904,0.3286604361370716,0.326625386996904
5616,8,0,0.0,714,270,713,0,0.3781512605042016,0.3786816269284712,0.3781512605042016
5617,313,4,0.012779552715654952,161,59,161,0,0.3664596273291925,0.3664596273291925,0.3664596273291925
5619,270,3,0.011111111111111112,455,93,455,0,0.2043956043956044,0.2043956043956044,0.2043956043956044
5620,4550,49,0.010769230769230769,1171,193,1153,0,0.1648163962425277,0.1673894189071986,0.1648163962425277
5621,1,0,0.0,979,255,979,0,0.2604698672114402,0.2604698672114402,0.2604698672114402
5622,1639,19,0.011592434411226357,772,162,768,0,0.2098445595854922,0.2109375,0.2098445595854922
5623,11,0,0.0,726,142,723,0,0.1955922865013774,0.1964038727524204,0.1955922865013774
5625,174,3,0.017241379310344827,132,46,132,0,0.3484848484848485,0.3484848484848485,0.3484848484848485
5630,4,0,0.0,1640,352,1637,0,0.2146341463414634,0.2150274893097128,0.2146341463414634
5705,1,0,0.0,279,80,278,0,0.2867383512544803,0.2877697841726618,0.2867383512544803
5706,942,11,0.01167728237791932,508,107,476,0,0.2106299212598425,0.2247899159663865,0.2106299212598425
5707,2371,26,0.010965837199493884,1034,360,1032,0,0.3481624758220503,0.3488372093023256,0.3481624758220503
5724,66,1,0.015151515151515152,450,134,449,0,0.2977777777777777,0.2984409799554566,0.2977777777777777
5725,360,2,0.005555555555555556,263,48,263,0,0.182509505703422,0.182509505703422,0.182509505703422
5726,2030,33,0.01625615763546798,836,151,830,0,0.180622009569378,0.1819277108433735,0.180622009569378
5727,1646,20,0.012150668286755772,697,118,696,0,0.1692969870875179,0.1695402298850574,0.1692969870875179
5728,2,0,0.0,688,124,687,0,0.1802325581395348,0.1804949053857351,0.1802325581395348
5733,254,3,0.011811023622047244,178,49,178,0,0.2752808988764045,0.2752808988764045,0.2752808988764045
5745,2534,27,0.010655090765588003,1120,239,1106,0,0.2133928571428571,0.2160940325497287,0.2133928571428571
