plz,n_households,n_flagged,flag_rate,n_buildings,n_heat_pump,n_known,gwr_hp_rate,gwr_hp_rate_known
5105,928,779,0.8394396551724138,636,253,636,0.3977987421383648,0.3977987421383648
5106,734,631,0.8596730245231607,477,163,476,0.3417190775681342,0.34243697478991597
5107,968,793,0.8192148760330579,592,219,591,0.36993243243243246,0.37055837563451777
5108,241,202,0.8381742738589212,186,63,185,0.3387096774193548,0.34054054054054056
5112,9,8,0.8888888888888888,320,123,319,0.384375,0.38557993730407525
5113,827,760,0.9189842805320435,301,91,300,0.3023255813953488,0.30333333333333334
5213,19,18,0.9473684210526315,483,182,483,0.37681159420289856,0.37681159420289856
5223,1,1,1.0,419,81,419,0.19331742243436753,0.19331742243436753
5225,786,652,0.8295165394402035,574,187,571,0.32578397212543553,0.3274956217162872
5235,305,253,0.8295081967213115,287,63,277,0.21951219512195122,0.22743682310469315
5236,580,382,0.6586206896551724,353,165,353,0.46742209631728043,0.46742209631728043
5237,194,159,0.8195876288659794,167,40,167,0.23952095808383234,0.23952095808383234
5244,460,392,0.8521739130434782,277,99,277,0.3574007220216607,0.3574007220216607
5272,22,16,0.7272727272727273,360,134,355,0.37222222222222223,0.37746478873239436
5301,202,181,0.8960396039603961,81,4,81,0.04938271604938271,0.04938271604938271
5304,1139,975,0.8560140474100087,643,95,641,0.14774494556765164,0.1482059282371295
5305,167,144,0.8622754491017964,119,35,118,0.29411764705882354,0.2966101694915254
5306,657,549,0.8356164383561644,370,146,368,0.3945945945945946,0.3967391304347826
5312,1953,1759,0.9006656426011265,827,214,827,0.2587666263603386,0.2587666263603386
5313,1913,1664,0.8698379508625196,952,180,952,0.18907563025210083,0.18907563025210083
5314,1857,1726,0.929456112008616,616,69,614,0.11201298701298701,0.11237785016286644
5315,145,79,0.5448275862068965,124,47,122,0.3790322580645161,0.38524590163934425
5316,961,837,0.8709677419354839,613,159,611,0.25938009787928223,0.2602291325695581
5322,808,574,0.7103960396039604,458,124,457,0.27074235807860264,0.2713347921225383
5324,371,306,0.8247978436657682,348,140,345,0.40229885057471265,0.4057971014492754
5325,1,1,1.0,393,161,391,0.40966921119592875,0.4117647058823529
5330,2673,2414,0.9031051253273475,1016,203,1016,0.19980314960629922,0.19980314960629922
5332,448,363,0.8102678571428571,322,42,319,0.13043478260869565,0.13166144200626959
5334,79,58,0.7341772151898734,65,17,65,0.26153846153846155,0.26153846153846155
5425,544,363,0.6672794117647058,463,137,463,0.2958963282937365,0.2958963282937365
5426,1364,1135,0.8321114369501467,784,283,779,0.36096938775510207,0.3632862644415918
5443,2355,2143,0.9099787685774947,790,317,790,0.4012658227848101,0.4012658227848101
5445,410,296,0.7219512195121951,280,131,279,0.46785714285714286,0.46953405017921146
5452,1012,909,0.8982213438735178,925,320,924,0.34594594594594597,0.3463203463203463
5454,4,2,0.5,495,184,495,0.3717171717171717,0.3717171717171717
5462,6,4,0.6666666666666666,204,72,204,0.35294117647058826,0.35294117647058826
5464,178,145,0.8146067415730337,101,38,101,0.37623762376237624,0.37623762376237624
5467,260,220,0.8461538461538461,149,61,148,0.40939597315436244,0.41216216216216217
5504,1568,1325,0.8450255102040817,739,274,739,0.37077131258457374,0.37077131258457374
5505,450,387,0.86,197,51,197,0.25888324873096447,0.25888324873096447
5506,1060,890,0.839622641509434,576,199,576,0.3454861111111111,0.3454861111111111
5507,5,5,1.0,1039,264,1038,0.25409047160731474,0.2543352601156069
5522,676,549,0.8121301775147929,432,170,432,0.39351851851851855,0.39351851851851855
5600,377,319,0.8461538461538461,1902,452,1902,0.23764458464773922,0.23764458464773922
5604,20,14,0.7,378,146,378,0.3862433862433862,0.3862433862433862
5605,1450,675,0.46551724137931033,951,317,951,0.3333333333333333,0.3333333333333333
5607,1246,1030,0.826645264847512,786,278,785,0.35368956743002544,0.354140127388535
5608,1160,1032,0.8896551724137931,554,165,554,0.29783393501805056,0.29783393501805056
5614,1390,1018,0.7323741007194244,862,403,862,0.46751740139211134,0.46751740139211134
5615,707,504,0.7128712871287128,646,271,646,0.4195046439628483,0.4195046439628483
5616,104,60,0.5769230769230769,714,348,714,0.48739495798319327,0.48739495798319327
5617,275,231,0.84,161,72,161,0.4472049689440994,0.4472049689440994
5618,1,0,0.0,201,80,200,0.39800995024875624,0.4
5619,256,214,0.8359375,455,149,455,0.3274725274725275,0.3274725274725275
5620,4061,3671,0.903964540753509,1171,299,1171,0.2553373185311699,0.2553373185311699
5621,9,9,1.0,979,319,979,0.3258426966292135,0.3258426966292135
5622,1525,1315,0.8622950819672132,772,277,768,0.3588082901554404,0.3606770833333333
5623,5,4,0.8,726,216,726,0.2975206611570248,0.2975206611570248
5625,163,142,0.8711656441717791,132,55,132,0.4166666666666667,0.4166666666666667
5630,2,1,0.5,1640,525,1640,0.3201219512195122,0.3201219512195122
5643,4,3,0.75,833,349,833,0.4189675870348139,0.4189675870348139
5705,112,22,0.19642857142857142,279,92,279,0.32974910394265233,0.32974910394265233
5706,860,721,0.8383720930232558,508,166,508,0.32677165354330706,0.32677165354330706
5707,2096,1781,0.8497137404580153,1034,509,1033,0.4922630560928433,0.4927395934172314
5724,533,368,0.6904315196998124,450,179,450,0.3977777777777778,0.3977777777777778
5725,329,250,0.7598784194528876,263,75,262,0.28517110266159695,0.2862595419847328
5726,1851,1598,0.8633171258779039,836,267,836,0.319377990430622,0.319377990430622
