mp_id,imp_kwh,imp_days,imp_night_kwh,exp_kwh,exp_days,exp_midday_days,best_summer_days,best_summer_midday_days,peak_slot_med
35727,166080.9569091797,1239,20929.91000366211,0.0,1239,0,0,0,
35728,21815.156829833984,1239,2712.3659858703613,0.0,1239,0,0,0,
35729,50126.87927246094,1239,4266.527984619141,0.0,1239,0,0,0,
35730,9670.195976257324,1239,587.8560009002686,0.0,1239,0,0,0,
35731,9058.898930072784,1239,807.4629998207092,0.0,1239,0,0,0,
35732,7606.756011962891,1239,740.1869983673096,0.0,1239,0,0,0,
35733,11357.818984985352,1239,766.6230010986328,0.0,1239,0,0,0,
35734,22323.262768745422,1239,2458.976983308792,27656.571641921997,1239,855,123,119,51.0
35735,29700.548889160156,1239,2505.8759956359863,0.0,1239,0,0,0,
35736,8973.242965698242,1239,544.8330035209656,0.0,1239,0,0,0,
35766,8788.379081726074,1239,680.6379976272583,0.0,1239,0,0,0,
35767,13706.363990783691,1239,1546.6400127410889,0.0,1239,0,0,0,
35768,6155.071998596191,1239,464.01199865341187,0.0,1239,0,0,0,
35769,8625.729019165039,1239,495.8960027694702,0.0,1239,0,0,0,
35770,10327.242950439453,1239,539.181001663208,0.0,1239,0,0,0,
35771,1365.7740478515625,31,249.927001953125,0.0,31,0,0,0,
35772,16663.054077148438,601,2008.5179824829102,0.0,601,0,0,0,
35773,17395.42108154297,601,2469.6589641571045,0.0,601,0,0,0,
35774,22076.226043701172,1270,3032.5310230255127,0.0,1270,0,0,0,
35775,73367.97790527344,1239,8798.162036895752,10.785000160336494,1239,0,0,0,44.5
35776,11261.853904724121,1239,962.0509958267212,0.0,1239,0,0,0,
35777,7607.049995422363,1239,655.0220022201538,0.0,1239,0,0,0,
35778,61635.01205444336,1239,7878.045009613037,7.886000122874975,1239,0,0,0,45.0
35779,23972.968139648438,1239,2068.512990951538,0.0,1239,0,0,0,
35780,12321.026977539062,1239,875.8309955596924,0.0,1239,0,0,0,
35781,9874.845916748047,1239,699.7759990692139,0.0,1239,0,0,0,
35782,64889.581115722656,1239,8071.943040847778,7.976000066846609,1239,0,0,0,38.5
35783,12272.774017333984,1239,1039.0149955749512,0.0,1239,0,0,0,
35784,16968.79803466797,1239,1340.793996810913,0.0,1239,0,0,0,
35785,8942.021987915039,1239,238.23799800872803,0.0,1239,0,0,0,
35786,2311.916027069092,1239,250.25200366973877,0.0,1239,0,0,0,
35788,47786.304260253906,1270,5740.357048034668,0.0,1270,0,0,0,
35790,10867.655044555664,1239,916.3260021209717,0.0,1239,0,0,0,
35791,15133.64907836914,1239,1152.606987953186,0.0,1239,0,0,0,
35792,4945.991987228394,1239,360.22499895095825,0.0,1239,0,0,0,
35793,9610.486907958984,1239,389.780002117157,0.0,1239,0,0,0,
35794,4178.516998291016,1239,322.91500091552734,0.0,1239,0,0,0,
35795,10263.825927734375,1239,689.2789993286133,0.0,1239,0,0,0,
35796,3289.7339935302734,1239,194.16399955749512,0.0,1239,0,0,0,
35797,9685.887928009033,1239,594.44699883461,0.0,1239,0,0,0,
35798,3634.507972717285,1239,229.3170051574707,0.0,1239,0,0,0,
35799,3260.725987434387,1239,169.7889995276928,0.0,1239,0,0,0,
35800,46638.79901123047,1239,3770.6149978637695,0.0,1239,0,0,0,
35801,7875.0460205078125,1239,389.7449994087219,0.0,1239,0,0,0,
35802,6431.963035583496,1239,468.6799969673157,0.0,1239,0,0,0,
35803,4596.71102142334,1239,207.669997215271,0.0,1239,0,0,0,
35804,7229.031010627747,1239,380.7820019721985,0.0,1239,0,0,0,
35805,5919.607925415039,1239,420.8059983253479,0.0,1239,0,0,0,
35806,4028.731044769287,1239,248.69000327587128,0.0,1239,0,0,0,
35807,4866.87201499939,1239,285.4890002012253,0.0,1239,0,0,0,
35808,11811.749954223633,1239,625.7909994125366,0.0,1239,0,0,0,
35809,3951.5999870300293,1239,189.00700068473816,0.0,1239,0,0,0,
35810,6585.388999938965,1239,302.969997882843,0.0,1239,0,0,0,
