mp_id,is_production_meter,is_silver_pv,exp_kwh,imp_kwh,best_summer_midday_days,peak_slot_med
10956,False,False,0.0,2495.3830070495605,0,
10964,False,False,0.0,631.8020057678223,0,
10966,False,False,0.0,2924.4210052490234,0,
10968,False,False,0.0,1964.4900121688845,0,
10976,False,False,0.0,1285.2899761199951,0,
10982,False,False,0.0,1381.722999572754,0,
109835,False,True,31094.693359375,10065.97789478302,123,45.0
10987,False,False,0.0,2203.6940155029297,0,
10991,False,False,0.0,1489.948974609375,0,
10993,False,False,0.0,1148.5390014648438,0,
10995,False,False,0.0,2469.324996948242,0,
110040,False,True,1252.6200113127709,16627.500030517578,105,49.5
11005,False,False,0.0,835.9150029420853,0,
11009,False,False,0.0,745.6949926838279,0,
11014,False,False,0.0,1796.4260025024414,0,
110140,False,True,37875.49279785156,16029.346908569336,123,49.0
110141,False,True,29579.31729698181,18201.87679862976,120,50.0
110142,False,False,7.009000081568956,15684.289001464844,0,57.0
110146,False,True,41454.11264038086,11576.315994262695,123,49.0
110147,False,True,39247.426330566406,3109.191977739334,123,47.0
110558,False,True,19350.75079345703,7450.609931945801,123,43.0
110590,False,True,3353.7349712252617,23131.535919189453,122,53.0
110602,False,True,449.9300049096346,16799.825942993164,77,53.0
110603,False,False,133.80300046503544,23823.231760025024,0,59.5
110637,False,True,75573.69820404053,50114.9469909668,123,47.5
110638,False,False,0.0,6093.297940194607,0,
110665,False,False,0.0,0.0,0,
11072,False,False,0.0,1344.6489887237549,0,
11081,False,False,0.0,2150.994903564453,0,
111009,False,True,366.1200005700812,26466.117698669437,92,52.0
111449,False,True,5894.637881934643,20036.84097290039,105,40.0
11166,True,False,395083.4488525391,0.0,123,49.0
111696,False,True,13235.39077615738,1572.8170080184937,120,47.0
111909,False,True,24756.97941803932,19553.54781484604,121,47.5
112020,False,False,0.0,10008.42512512207,0,
11210,False,False,0.0,28.65199851989746,0,
112169,False,False,155.22800024598837,5675.633987426758,8,45.0
112178,False,True,16164.504774093628,950.0239913463593,122,50.0
112179,False,True,16184.762961387634,23260.77367401123,118,50.0
112180,False,True,7647.885872542858,8855.663988113403,114,49.5
112189,False,True,20228.95497894287,23406.41104125977,123,55.0
112241,False,True,19711.227176189423,1648.7599844932556,122,48.0
112245,False,False,0.0020000000949949,2832.881996154785,0,36.5
11225,False,False,0.0,1332071.84765625,0,
112331,False,False,5.630999967455864,1148.9350109100342,0,50.0
112360,False,True,42050.91792297363,9895.10806274414,123,50.0
112755,False,True,25962.21369934082,14640.391952514648,123,49.0
112781,False,True,13365.225154876707,23969.102798461918,123,50.0
112784,False,True,8224.372876405716,21294.283000946045,116,48.0
112820,False,False,67.83000048995018,10844.708953857422,2,53.0
112838,False,True,13638.222061157228,17725.274810791016,123,47.5
112839,False,True,22637.772903442383,21589.973724365234,111,51.0
11386,False,False,0.0,205109.09399414065,0,
11387,False,False,0.0,134736.29452514648,0,
11388,False,False,0.0,258724.8013916016,0,
11389,False,False,0.0,97399.9282836914,0,
11390,False,False,3031.1099853515625,9969.211853027344,59,47.5
113971,False,True,22261.664993286133,4460.177970886231,123,51.0
11405,False,False,0.0,29516.123413085938,0,
11406,False,False,0.0,-1616915.73828125,0,
11407,False,False,0.0,66724.4906616211,0,
114346,False,False,210.1599988937378,15162.775024414062,18,58.0
11473,False,False,0.0,146828.90209960938,0,
114735,False,True,14485.826950073242,3174.4230337142944,120,50.0
114974,False,True,8495.076961517334,26371.836208343502,110,50.0
114990,False,True,12100.103017568588,33897.83296966553,122,51.0
114992,False,False,0.0,3310.4970076084137,0,
114996,False,True,13961.254962921144,18028.28409576416,122,49.5
114997,False,True,13877.33519744873,8483.949053287506,117,49.0
11518,False,False,0.0,9317.970153808594,0,
11525,False,False,0.0,1155.3959999084473,0,
11535,False,False,0.0,1399.5380086898804,0,
11537,False,False,0.0,4251.329040527344,0,
115387,False,True,16281.093964993954,19540.141998291016,119,50.0
11539,False,False,0.0,701.8230032995343,0,
11540,False,False,0.0,218.90099430084229,0,
11541,False,False,0.0,155.93600177764893,0,
11547,False,False,0.0,510.8670072555542,0,
11551,False,False,0.0,11.403999462723732,0,
115530,False,True,13182.106896162031,14638.192160606384,113,50.0
11558,False,False,0.0,244.01500129699707,0,
115589,False,True,12735.176772117617,1973.6719903945925,121,50.0
11563,False,False,0.0,1685.7800178527832,0,
115636,False,True,102903.06117248537,6794.750978469849,123,50.0
11567,False,False,0.0,504.6390027999878,0,
11568,False,False,0.0,308.1719921827316,0,
11569,False,False,0.0,347.4179918766022,0,
11579,False,False,0.0,1756.775016784668,0,
11580,False,False,0.0,165.9960012435913,0,
11582,False,False,0.0,963.781987786293,0,
11584,False,False,0.0,3780.2109756469727,0,
11586,False,False,0.0,46.07300215959549,0,
11591,False,False,0.0,908.579008102417,0,
11592,False,False,0.0,1787.5779571533203,0,
11595,False,False,0.0,139.38200664520264,0,
11596,False,False,0.0,37.911999225616455,0,
11601,False,False,0.0,812.1510162353516,0,
11602,False,False,0.0,86.6540002822876,0,
11603,False,False,0.0,31.876998901367188,0,
11665,False,False,0.0,5332.809112548828,0,
11705,False,False,0.0,194356.48876953125,0,
11753,False,False,0.0,869.8979949951172,0,
118008,False,False,0.0,1993.2990026474,0,
11801,False,True,36152.767139434814,21622.766082763672,123,47.0
118013,False,False,0.0,4993.598979949951,0,
118017,False,False,0.0,6043.544961929321,0,
118020,False,False,0.0,1540.8959975242617,0,
118022,False,False,0.0,2410.0570163726807,0,
118028,False,False,0.0,2414.12801361084,0,
118029,False,False,0.0,4423.962009429932,0,
118625,False,False,0.0,811.4709930419922,0,
118626,False,False,0.0,1558.5979843139648,0,
118629,False,False,0.0,2303.438005447388,0,
118630,False,False,0.0,3055.682975769043,0,
11878,False,False,0.0,25.118000030517575,0,
12005,False,False,0.0,187127.52041625977,0,
120599,False,False,0.0,78996.54077148438,0,
121223,False,False,0.0,31550.04302978516,0,
121224,False,False,0.0,42662.96562957764,0,
121225,False,False,0.0,4.279999958933331,0,
121228,False,False,0.0,2003.8359909057615,0,
121232,False,False,0.0,7063.221977233887,0,
121234,False,False,0.0,11261.276916503906,0,
121236,False,False,0.0,3705.583015441895,0,
121245,False,False,0.0,11815.823043823242,0,
121246,False,False,0.0,19595.396850585938,0,
121247,False,False,0.0,23120.725158691406,0,
121248,False,False,0.0,15998.195922851562,0,
121249,False,False,0.0,22859.89324951172,0,
121250,False,False,0.0,4940.660949707031,0,
121251,False,False,0.0,3647.1089935302734,0,
121252,False,False,0.0,6454.715965270996,0,
122142,False,False,0.0,5465.350002288818,0,
122143,False,False,0.0,1055.0269999206066,0,
122144,False,False,0.0,2637.4379959106445,0,
122145,False,False,0.0,2017.024998307228,0,
122146,False,False,0.0,2956.813003540039,0,
122147,False,False,0.0,4472.175025939941,0,
122148,False,False,0.0,3618.027004241944,0,
122149,False,False,0.0,2716.8140201568604,0,
122150,False,False,0.0,1987.2270097732544,0,
122151,False,False,6.347000107169151,35626.30938720703,0,31.0
122152,False,False,0.0,2105.6999855041504,0,
122153,False,False,0.0,1489.2809963226318,0,
122154,False,False,0.0,2784.6639976501465,0,
122155,False,False,0.0,1844.6239910125728,0,
122156,False,False,0.0,1472.3060026168823,0,
