GP-Nr;PLZ;Ort;Kanton;WärmePumpe; PV;PV-Leistung in kWp ;Batterie/Speicher;Ladestation für Elektrofahrzeuge;Wärmepumpenboiler;Datum Unterschrift;geplanter Baustart;Übergabe;InBetrieb-Datum;InBetrieb-Datum bezieht sich auf;MP IDs;n_meters
885322;4313;Möhlin;AG;;x;;x;;;11.12.2022;01.09.2023;;01.09.2023;PV + Batterie;152738;1
805535;4313;Möhlin;AG;-;x;7.9;x;;;12.12.2022;Q1/2024 oder wenn möglich früher;;02.02.2024;PV + Batterie;157098;1
805537;4313;Möhlin;AG;-;x;7.9;x;;;12.12.2022;Q1/2024 oder wenn möglich früher;;02.02.2024;PV + Batterie;157099;1
743047;4303;Kaiseraugst;AG;;x;;x;;;12.12.2022;KW44 / 23;15.12.2023;10.08.2023;PV + Batterie;108981;1
731568;4313;Möhlin;AG;-;x;18.7;x;;;14.12.2022;Q1 / 2024;03.04.2024;12.01.2024;PV + Batterie;139014;1
190040 / 750463;5504;Othmarsingen;AG;x;-;;-;-;-;21.12.2022;Q3/2023;10.11.2023;21.09.2023;Wärmepumpe;109058;1
874661;5106;Veltheim AG;AG;-;x;19.6;x;-;-;04.01.2023;Q1 2024;;18.04.2024;PV + Batterie;102052;1
104479;8962;Bergdietikon;AG;-;x;11.48;x;;;08.01.2023;02.04.2024;13.05.2024;15.04.2024;PV + Batterie;105637,60373;2
155497;5108;Oberflachs;AG;;x;26.1;x;;;10.01.2023;25.04.2024;19.11.2024;26.07.2024;PV + Batterie;126306;1
741910;4313;Möhlin;AG;;x;23.78;x;;;11.01.2023;KW48 2023;;03.11.2023;PV + Batterie;139013;1
708823;5316;Leuggern;AG;-;x;10.08;x;-;-;12.01.2023;29.01.2024;12.03.2024;15.02.2024;PV + Batterie;137754,32173;2
692971;5244;Birrhard;AG;x;-;;-;;;12.01.2023;01.08.2023;30.10.2023;15.09.2023;Wärmepumpe;80353;1
878846;5506;Mägenwil;AG;;x;;;;;13.01.2023;03.11.2023;14.12.2023;01.12.2023;PV;117943;1
150951;5506;Mägenwil;AG;-;x;;-;-;-;22.01.2023;06.11.2023;14.12.2023;13.11.2023;PV;115607;1
716735;5443;Niederrohrdorf;AG;-;-;;x;-;-;25.01.2023;;;;;58291;1
692126;8962;Bergdietikon;AG;-;x;;x;-;-;28.01.2023;18.03.2024;13.05.2024;03.04.2024;PV + Batterie;101176;1
118168;5607;Hägglingen;AG;-;x;;x;-;-;16.02.2023;Q2/2024;13.08.2024;01.05.2024;PV + Batterie;150672;1
164222;8962;Bergdietikon;AG;-;-;;x;-;-;22.02.2023;27.06.2023;-;;;65427;1
751403;5105;Auenstein;AG;x;x;;-;-;-;27.02.2023;Frühilng 2023;;21.11.2023;Wärmepumpe + PV;91774,92583;2
745959;5105;Auenstein;AG;x;x;;x;-;-;02.03.2023;21.04.2023;;10.01.2024;Wärmepumpe + PV + Batterie;93459;1
161857;4324;Obermumpf;AG;-;x;;-;x;-;03.03.2023;22.01.2024;04.03.2024;29.01.2024;PV + EV-Ladestation;149313;1
731681;5106;Veltheim AG;AG;-;x;;x;-;-;03.03.2023;Q2/2024;01.07.2024;31.05.2024;PV + Batterie;106079;1
132315;4312;Magden;AG;-;x;;x;-;-;04.03.2023;05.02.2024;21.03.2023;12.01.2024;PV + Batterie;166580;1
131858;5443;Niederrohrdorf;AG;-;x;;x;-;-;08.03.2023;Q1/2024;20.11.2024;12.08.2024;PV + Batterie;36513;1
752093;4303;Kaiseraugst;AG;-;x;;x;-;-;10.03.2023;KW 5 2024;;12.01.2024;PV + Batterie;98955;1
720260;4312;Magden;AG;-;x;;x;-;-;15.03.2023;Q2/2024;;05.06.2024;PV + Batterie;166566;1
126001;4312;Magden;AG;-;x;;x;-;-;15.03.2023;KW 5 / 2024;;;;163819;1
739616;4813;Uerkheim;AG;-;x;;-;x;-;19.03.2023;15.01.2024;11.04.2024;11.05.2021;PV + EV-Ladestation;134852;1
745415;5074;Eiken;AG;-;x;;x;-;-;20.03.2023;Q4/2023;09.04.2024;20.12.2023;PV + Batterie;93741;1
175514;5313;Klingnau;AG;-;x;;x;-;-;27.03.2023;Q2/2024;19.08.2024;02.07.2024;PV + Batterie;97794;1
727027;5225;Bözberg;AG;-;x;;x;-;-;28.03.2023;11.04.2024;17.06.2024;17.06.2024;PV + Batterie;98501;1
700296;4310;Rheinfelden;AG;x;x;;x;-;-;02.04.2023;12.02.2024;04.04.2024;03.04.2024;Wärmepumpe + PV + Batterie;66535,98532;2
785360;5622;Waltenschwil;AG;-;-;;-;x;-;05.04.2023;Q2/2023;-;29.10.2020;EV-Ladestation;107887;1
806207;5225;Bözberg;AG;-;-;;-;x;-;06.04.2023;20.11.2023;02.10.2023;20.10.2021;EV-Ladestation;98200;1
144863;5105;Auenstein;AG;-;x;;x;-;-;06.04.2023;Q1 / 2024;;06.04.2024;PV + Batterie;101174;1
166831;5725;Leutwil;AG;-;x;;x;x;-;13.04.2023;Q2/2024;25.06.2024;11.06.2024;PV + Batterie + EV-Ladestation;131910;1
109520;4313;Möhlin;AG;-;-;;-;-;-;17.04.2023;;-;;;154551;1
585660;4322;Mumpf;AG;-;x;;-;-;-;18.04.2023;13.06.2024;27.09.2024;14.03.2024;PV;116778;1
127600;5235;Rüfenach AG;AG;-;-;;x;-;-;26.04.2023;Q2 2023;;14.12.2022;Batterie;120790;1
785007;5622;Waltenschwil;AG;-;-;;-;x;-;02.05.2023;01.03.2024;-;09.05.2019;EV-Ladestation;107581;1
556837;5236;Remigen;AG;;x;;x;-;;02.05.2023;01.03.2024;03.05.2024;26.03.2024;PV + Batterie;162160;1
812506;5506;Mägenwil;AG;-;x;;x;-;-;04.05.2023;Q1/2024;18.06.2024;22.03.2024;PV + Batterie;109030;1
718990;5027;Herznach;AG;-;-;;-;x;-;10.05.2023;Q2/2024;27.02.2024;02.02.2024;EV-Ladestation;131834;1
736207;5078;Effingen;AG;-;x;;x;-;-;13.05.2023;03.06.2024;26.07.2024;25.06.2024;PV + Batterie;104931;1
184486;5305;Unterendingen;AG;-;x;;x;-;-;17.05.2023;Q2, Q3/2024;;04.07.2024;PV + Batterie;18846,96653;2
186748;5074;Eiken;AG;x;x;;x;-;-;24.05.2023;Q3/23+Q1/24;12.04.2024;03.07.2023;Wärmepumpe + PV + Batterie;96886;1
723701;5707;Seengen;AG;x;x;;x;x;;30.05.2023;Q3/23+Q1/24;08.05.2024;17.01.2024;Wärmepumpe + PV + Batterie + EV-Ladestation;124456;1
594379;4333;Münchwilen AG;AG;-;x;;-;-;-;19.06.2023;01.05.2024;06.05.2024;07.02.2024;PV;166880;1
201264;5076;Bözen;AG;-;x;;x;;;19.06.2023;15.04.2024;08.06.2024;07.05.2024;PV + Batterie;144017;1
725159;4310;Rheinfelden;AG;-;x;;-;-;-;21.06.2023;;;;;73119;1
715586;4322;Mumpf;AG;-;x;;x;-;-;22.06.2023;01.04.2024;;09.10.2024;PV + Batterie;123483;1
113592;5106;Veltheim AG;AG;-;x;;x;x;-;26.06.2023;Q2/2024;10.07.2024;28.06.2024;PV + Batterie + EV-Ladestation;105543;1
717438;5225;Bözberg;AG;;x;;x;-;-;27.06.2023;12:2.24;08.11.2024;28.02.2024;PV + Batterie;96812;1
867869;5504;Othmarsingen;AG;-;x;;x;x;-;30.06.2023;Q2/2024;08.07.2024;03.07.2024;PV + Batterie + EV-Ladestation;107123;1
706335;4310;Rheinfelden;AG;-;x;;x;-;;04.07.2023;01.05.2024;13.06.2024;12.06.2024;PV + Batterie;106873;1
863162;4324;Obermumpf;AG;-;x;;x;-;;04.07.2023;01.05.2024;;14.03.2024;PV + Batterie;155839,155840;2
107868;5322;Koblenz;AG;-;x;;;-;;05.07.2023;01.07.2024;01.10.2024;06.09.2024;PV;165138,165917;2
700623;5074;Eiken;AG;-;x;;-;-;;06.07.2023;Q2/2024;24.06.2024;13.03.2024;PV;110144;1
722764;5620;Bremgarten AG;AG;-;x;;x;-;;07.07.2023;Q2/2024;13.11.2024;08.07.2024;PV + Batterie;131236;1
108808;5322;Koblenz;AG;-;x;;x;-;;22.07.2023;10.06.2024;15.07.2024;;;169871;1
689836;5237;Mönthal;AG;-;x;23.93;;-;;27.07.2023;01.08.2024;;05.11.2024;PV;119923;1
197257;5426;Lengnau AG;AG;-;x;;x;x;;08.08.2023;01.06.2024;24.10.2024;16.07.2024;PV + Batterie + EV-Ladestation;125617,94991;2
745424;5027;Herznach;AG;-;;;x;-;;21.08.2023;;;05.06.2023;Batterie;135709;1
143397;5620;Bremgarten AG;AG;-;x;;x;-;;25.08.2023;13.06.2024;14.10.2024;30.07.2024;PV + Batterie;142065,142066,155244,155246,155247,156980,156990,156991;8
153093;5504;Othmarsingen;AG;-;-;;-;x;;26.08.2023;Q3/2023;-;13.10.2023;EV-Ladestation;103631;1
727137;4333;Münchwilen AG;AG;-;x;;-;-;;30.08.2023;01.06.2024;;27.06.2024;PV;160104;1
727135;4333;Münchwilen AG;AG;-;x;;-;-;;03.09.2023;01.06.2024;;05.06.2024;PV;160103;1
748404;5614;Sarmenstorf;AG;-;-;;x;x;;07.09.2023;Q1/2024;02.02.2024;27.09.2021;Batterie + EV-Ladestation;162636;1
821784;5707;Seengen;AG;x;x;22.53;x;-;;08.09.2023;01.06.2024;01.11.2024;12.09.2024;Wärmepumpe + PV + Batterie;131311;1
135868;4313;Möhlin;AG;-;x;;x;-;;10.09.2023;15.07.2024;23.08.2024;20.06.2024;PV + Batterie;131292;1
201391;5076;Bözen;AG;;x;;x;;;28.09.2023;01.09.2024;;07.10.2024;PV + Batterie;122134;1
745959;5105;Auenstein;AG;-;-;;-;x;;14.10.2023;KW 51;;;;93459;1
896125;5745;Safenwil;AG;-;x;;-;-;;28.10.2023;01.08.2024;;19.09.2024;PV;40119;1
120137;4313;Möhlin;AG;-;-;;-;x;;02.11.2023;;;;;154633;1
591571;5426;Lengnau AG;AG;;x;;x;;;02.11.2023;01.05.2024;28.06.2024;27.06.2024;PV + Batterie;101874;1
165183;5504;Othmarsingen;AG;-;x;;x;-;;04.11.2023;01.03.2024;22.04.2024;04.04.2024;PV + Batterie;106365;1
194423;4324;Obermumpf;AG;;x;;;-;;10.11.2023;01.09.2024;;;;155841;1
165171;5506;Mägenwil;AG;x;-;;-;-;;12.11.2023;01.06.2024;;24.06.2024;Wärmepumpe;106348,174336;2
123159;4310;Rheinfelden;AG;x;;;;-;;23.11.2023;01.07.2024;11.09.2024;22.03.2018;Wärmepumpe;64811;1
555287;5706;Boniswil;AG;-;x;;x;-;;09.12.2023;01.05.2024;13.09.2024;29.08.2024;PV + Batterie;109231;1
162827;5225;Bözberg;AG;-;x;;x;-;;10.12.2023;01.05.2024;20.09.2024;03.05.2024;PV + Batterie;103833;1
757719;4312;Magden;AG;x;x;14.22;x;-;;15.12.2023;01.08.2024;24.01.2025;25.07.2024;Wärmepumpe + PV + Batterie;162281;1
164237;5622;Waltenschwil;AG;-;x;;x;-;;18.12.2023;01.05.2024;13.11.2024;20.08.2024;PV + Batterie;102550,111698;2
711259;5506;Mägenwil;AG;-;x;;-;-;;20.12.2023;01.05.2024;;;;103880;1
142682;4303;Kaiseraugst;AG;;x;13.7;x;-;;22.12.2023;01.08.2024;20.01.2025;08.10.2024;PV + Batterie;121131;1
809909;5506;Mägenwil;AG;-;x;;-;-;;26.12.2023;01.05.2024;30.08.2024;15.05.2024;PV;104399;1
906291;8962;Bergdietikon;AG;x;-;;-;-;;27.01.2024;01.09.2024;21.10.2024;29.08.2024;Wärmepumpe;117402;1
806207;5225;Bözberg;AG;-;x;;-;-;;28.01.2024;19.08.2024;26.09.2024;20.10.2021;PV;98200;1
790904;5506;Mägenwil;AG;-;-;;x;-;;07.02.2024;01.04.2024;-;16.03.2023;Batterie;106074;1
745415;5074;Eiken;AG;-;-;;x;-;;09.02.2024;01.04.2024;-;20.12.2023;Batterie;93741;1
716143;4303;Kaiseraugst;AG;-;x;;-;-;;13.02.2024;04.11.2024;;;;96737;1
176306;5707;Seengen;AG;-;x;26.66;-;-;;15.02.2024;01.12.2024;13.01.2025;28.11.2024;PV;131321;1
720022;4310;Rheinfelden;AG;x;x;25.37;x;-;;16.02.2024;25.11.2024;23.01.2025;05.08.2024;Wärmepumpe + PV + Batterie;121149;1
194265;5078;Effingen;AG;x;x;;x;-;;18.02.2024;01.08.2024;15.11.2024;08.08.2024;Wärmepumpe + PV + Batterie;123269;1
552884;5522;Tägerig;AG;-;x;;x;x;;25.02.2024;01.06.2024;;08.07.2024;PV + Batterie + EV-Ladestation;107150;1
127293;4313;Möhlin;AG;-;x;;x;-;;03.03.2024;01.09.2024;;09.08.2024;PV + Batterie;126291;1
187213;5113;Holderbank AG;AG;x;-;;-;-;;07.03.2024;05.08.2024;;;;118890,27485,27487;3
710897;4315;Zuzgen;AG;-;x;;-;-;;12.03.2024;01.09.2024;;09.08.2024;PV;160716;1
717974;5452;Oberrohrdorf;AG;-;x;;x;x;;13.03.2024;16.09.2024;15.11.2024;18.10.2024;PV + Batterie + EV-Ladestation;119505;1
897353;5522;Tägerig;AG;-;x;;x;-;;26.03.2024;15.07.2024;23.09.2024;30.08.2024;PV + Batterie;109241;1
811757;5608;Stetten AG;AG;-;x;;;-;;02.04.2024;10.07.2024;23.09.2024;11.07.2024;PV;109763;1
696579;5605;Dottikon;AG;-;-;;x;-;;03.04.2024;01.06.2024;-;12.01.2024;Batterie;173867;1
696780;4310;Rheinfelden;AG;-;x;;x;-;;08.04.2024;04.06.2024;08.11.2024;27.05.2024;PV + Batterie;106916;1
118168;5607;Hägglingen;AG;-;-;;-;x;;12.04.2024;15.04.2024;-;11.06.2024;EV-Ladestation;150672;1
708813;5316;Leuggern;AG;-;x;10.32;x;-;;19.04.2024;02.12.2024;;;;141280;1
720199;4314;Zeiningen;AG;-;x;13.05;x;-;;22.04.2024;24.09.2024;10.03.2025;06.02.2025;PV + Batterie;54948;1
150964;5107;Schinznach Dorf;AG;-;x;;-;-;;28.04.2024;25.06.2024;20.08.2024;23.07.2024;PV;131301;1
223900;5607;Hägglingen;AG;-;x;;x;-;;30.04.2024;01.09.2024;;22.11.2024;PV + Batterie;155255;1
868792;4322;Mumpf;AG;-;x;;x;-;;20.05.2024;26.08.2024;23.10.2024;30.08.2024;PV + Batterie;117175;1
226011;5425;Schneisingen;AG;-;x;;-;-;;24.05.2024;12.8,24;23.09.2024;;;166421;1
736402;5236;Remigen;AG;-;x;19.36;-;-;;14.06.2024;KW 36;05.05.2025;01.05.2025;PV;159275,162909,162910,162911,162912,162915,164493,165057,173599,173816,174189,174202,174518,174519,174521,174522,174523;17
709341;4317;Wegenstetten;AG;x;x;10.8;x;;;18.06.2024;02.12.2024;07.02.2025;11.12.2024;Wärmepumpe + PV + Batterie;131369;1
719301;5504;Othmarsingen;AG;-;x;;x;;;22.06.2024;09.09.2024;18.10.2024;17.09.2024;PV + Batterie;116779;1
155497;5108;Oberflachs;AG;-;x;;x;-;;27.06.2024;08.07.2024;15.10.2024;26.07.2024;PV + Batterie;126306;1
696935;5225;Bözberg;AG;x;x;24.6;x;-;;02.07.2024;25.01.2025;10.04.2025;09.04.2025;Wärmepumpe + PV + Batterie;101837,119892;2
731681;5106;Veltheim AG;AG;-;-;;x;-;;06.07.2024;01.09.2024;-;05.09.2024;Batterie;106079;1
735579;8962;Bergdietikon;AG;-;x;;x;-;;06.07.2024;Spätsommer;;;;115589;1
149164;5600;Ammerswil AG;AG;-;-;;x;-;;10.07.2024;?;;;;70028;1
698970;5452;Oberrohrdorf;AG;-;-;;x;-;;10.07.2024;01.09.2024;28.10.2024;21.06.2018;Batterie;54412;1
694066;5707;Seengen;AG;-;-;;-;x;;13.07.2024;?;;16.03.2022;EV-Ladestation;149167;1
746764;5452;Oberrohrdorf;AG;-;x;;x;-;;14.07.2024;14.10.2024;25.11.2024;28.10.2024;PV + Batterie;115387;1
722929;5106;Veltheim AG;AG;-;x;;x;;;17.07.2024;01.10.2024;;17.12.2024;PV + Batterie;118609;1
227913;5426;Lengnau AG;AG;-;;;;-;;12.08.2024;KW 46;-;-;unbekannt (keine Anlage auf dieser Zeile markiert);93564;1
692550;8962;Bergdietikon;AG;-;x;;;-;;21.08.2024;KW 44;17.12.2024;25.11.2024;PV;121379;1
228837;5463;Wislikofen;AG;-;x;;x;-;;04.09.2024;21.10.2024;11.12.2024;30.11.2024;PV + Batterie;110865;1
720967;4310;Rheinfelden;AG;x;-;;-;-;;05.09.2024;01.08.2025;25.09.2025;;;48301,62454;2
724334;5235;Rüfenach AG;AG;-;x;;;;;15.09.2024;21.10.2024;18.12.2024;04.12.2024;PV;120594;1
851473;8962;Bergdietikon;AG;-;x;30.8;x;x;;20.09.2024;25.11.2024;24.01.2025;17.12.2024;PV + Batterie + EV-Ladestation;120484;1
164491;5105;Auenstein;AG;-;x;8.36;-;-;;25.09.2024;19.11.2024;07.02.2025;;;120483;1
734306;4312;Magden;AG;-;-;;X;X;;01.10.2024;25.11.2024;14.03.2025;14.03.2025;Batterie + EV-Ladestation;170516,46962;2
156287;5322;Koblenz;AG;X;-;;-;-;;04.10.2024;Q1 / 2026;-;-;Wärmepumpe;163477;1
137763;4313;Möhlin;AG;;x;12.9;x;;;11.10.2024;09.12.2024;13.01.2025;12.01.2025;PV + Batterie;144176;1
129462;5072;Oeschgen;AG;-;-;;-;x;;27.10.2024;;;;;63907;1
906291;8962;Bergdietikon;AG;;-;;-;-;;30.10.2024;Q4/2024;-;04.12.2024;unbekannt (keine Anlage auf dieser Zeile markiert);117402;1
778612;5725;Leutwil;AG;-;-;;x;-;;30.10.2024;Q1/2025;-;17.04.2025;Batterie;130488;1
891106;4313;Möhlin;AG;-;X;15.13;X;-;;17.11.2024;Q1 2025;;;;156301;1
228831;8962;Bergdietikon;AG;-;X;14.69;-;-;;25.11.2024;01.02.2025;;28.03.2025;PV;153410;1
201391;5076;Bözen;AG;-;-;;x;;;25.11.2024;31.12.2024;;;;122134;1
106914;5608;Stetten AG;AG;-;x;15.13;x;-;;27.11.2024;01.02.2025;14.03.2025;06.03.2025;PV + Batterie;124215;1
722955;5304;Endingen;AG;-;X;9.35;X;-;;29.11.2024;Q1/2025;31.03.2025;18.02.2025;PV + Batterie;125494;1
133692;5608;Stetten AG;AG;-;x;8.01;x;-;;03.12.2024;Q1/2025;09.04.2025;17.03.2025;PV + Batterie;124214;1
701696;5304;Endingen;AG;-;X;42.24;-;-;;04.12.2024;15.02.2025;11.04.2025;09.04.2025;PV;132050;1
770736;5027;Herznach;AG;-;X;16.02;X;-;;04.12.2024;03.03.2025;01.04.2025;21.03.2025;PV + Batterie;126213;1
222824;5304;Endingen;AG;-;X;20.25;X;-;;09.12.2024;Q1/2025;02.05.2025;;;95133;1
118265;5607;Hägglingen;AG;-;x;14.24;x;-;;16.12.2024;17.02.2025;25.06.2025;05.05.2025;PV + Batterie;140406,140443,140444;3
713894;4323;Wallbach;AG;-;-;;-;x;-;14.01.2025;-;;;;63674;1
582164;5614;Sarmenstorf;AG;x;-;;-;-;;22.01.2025;01.04.2025;22.07.2025;02.06.2025;Wärmepumpe;162934;1
909265;4468;Kienberg;SO;X;-;;-;-;-;08.02.2025;15.04.2025;;;;84982;1
805535;4313;Möhlin;AG;-;-;;x;-;-;16.02.2025;10.03.2025;;;;157098;1
805537;4313;Möhlin;AG;-;-;;x;-;-;16.02.2025;10.03.2025;;;;157099;1
868792;4322;Mumpf;AG;X;-;;;-;-;04.03.2025;01.06.2025;21.07.2025;17.06.2025;Wärmepumpe;117175;1
186396;4324;Obermumpf;AG;-;x;8.84;x;x;;05.03.2025;05.05.2025;;18.03.2025;PV + Batterie + EV-Ladestation;157108;1
859760;5707;Seengen;AG;X;X;15.68;X;-;-;10.03.2025;Q1 / 2026;27.02.2026;23.01.2026;Wärmepumpe + PV + Batterie;128319,174544;2
595687;4310;Rheinfelden;AG;-;x;13.49;x;-;-;26.03.2025;26.05.2025;;;;134962;1
748606;4333;Münchwilen AG;AG;-;x;8.1;x;-;-;10.04.2025;10.06.2025;;;;162628;1
707268;5027;Herznach;AG;-;-;;-;X;-;10.05.2025;22.05.2025;;;;127621;1
717797;4324;Obermumpf;AG;;x;15.51;x;;;12.05.2025;Mitte Juli;25.08.2025;09.07.2025;PV + Batterie;146811;1
717438;5225;Bözberg;AG;-;-;;x;;;26.05.2025;01.07.2025;-;04.07.2025;Batterie;96812;1
897928;5733;Leimbach AG;AG;x;-;;-;;;03.06.2025;01.10.2025;04.12.2025;30.10.2025;Wärmepumpe;80548;1
692550;8962;Bergdietikon;AG;-;X;15.13;-;;;06.06.2025;01.08.2025;16.07.2025;09.07.2025;PV;121379;1
692466;8962;Bergdietikon;AG;-;-;;x;;;15.06.2025;01.08.2025;;;;61683,95510;2
868792;4322;Mumpf;AG;-;x;24.64;-;;;23.06.2025;02.07.2025;21.07.2025;02.07.2025;PV;117175;1
878287;4303;Kaiseraugst;AG;-;x;15.04;-;;;23.06.2025;01.09.2025;02.10.2025;14.07.2025;PV;147431;1
747439;5412;Gebenstorf;AG;-;-;;-;x;;27.06.2025;01.07.2025;übergeben;;;151842;1
191828;5452;Oberrohrdorf;AG;-;x;16.56;x;;;29.06.2025;01.09.2025;31.10.2025;;;156784;1
171122;5745;Safenwil;AG;-;x;11.28;x;;;10.07.2025;01.09.2025;;;;153488;1
136557;4325;Schupfart;AG;-;-;;x;;;14.07.2025;01.09.2025;;;;153288;1
738793;5070;Frick;AG;x;-;;-;;;15.07.2025;01.10.2025;02.12.2025;07.11.2025;Wärmepumpe;168959;1
556799;5113;Holderbank AG;AG;-;x;16.49;x;;;17.07.2025;08.09.2025;29.10.2025;;;147428;1
878287;4303;Kaiseraugst;AG;-;-;;x;;;07.08.2025;-;02.10.2025;;;147431;1
721906;4310;Rheinfelden;AG;x;;;;;;18.08.2025;01.05.2026;30.04.2026;;;77253;1
177379;5312;Döttingen;AG;;x;12.6;x;;;19.08.2025;mitte Okt. ;17.11.2025;;;157358;1
740863;5727;Oberkulm;AG;;;;x;;;30.08.2025;01.10.2025;10.11.2025;14.10.2025;Batterie;56950;1
118609;5607;Hägglingen;AG;;;;x;;;09.09.2025;01.10.2025;;;;150083,96945;2
694753;5620;Bremgarten AG;AG;;;;x;;;09.09.2025;01.11.2025;-;18.11.2025;Batterie;149575;1
751215;5107;Schinznach Dorf;AG;;x;;x;;;12.09.2025;16.03.2026;;;;135917;1
724881;5745;Safenwil;AG;;;;x;;;13.09.2025;;;;;62764;1
821264;4303;Kaiseraugst;AG;-;-;;x;;;15.10.2025;01.06.2026;-;;;120937;1
175560;5313;Klingnau;AG;;x;;x;;;30.10.2025;01.05.2026;;;;159232;1
156287;5322;Koblenz;AG;x;;;;;;31.10.2025;Q1 / 2026;09.03.2026;22.01.2026;Wärmepumpe;163477;1
745959;5105;Auenstein;AG;;;;x;;;01.11.2025;im 2026;-;;;93459;1
227509;5113;Holderbank AG;AG;x;;;;;;03.11.2025;Q1 / 2026;09.02.2026;16.01.2026;Wärmepumpe;27195;1
688436;5620;Bremgarten AG;AG;;x;156.8;;;;04.11.2025;Q1 / 2026;01.06.2026;27.04.2026;PV;136761,157121,171608;3
709341;4317;Wegenstetten;AG;;;;;x;;09.11.2025;Q1 / 2026;noch offen;13.01.2026;EV-Ladestation;131369;1
133710;5726;Unterkulm;AG;;x;15.675;x;;;10.11.2025;Q1 / 2026;23.03.2026;05.03.2026;PV + Batterie;161473;1
890111;5235;Rüfenach AG;AG;;x;15.2;x;;;22.11.2025;;13.04.2026;;;164080;1
813191;5107;Schinznach Dorf;AG;;x;13.775;x;;;22.11.2025;Q2 / 2026;21.04.2026;02.04.2026;PV + Batterie;164084;1
709341;4317;Wegenstetten;AG;;;;x;;;28.11.2025;18.07.1905;noch offen;;;131369;1
118160;5607;Hägglingen;AG;;x;11.4;x;;;07.12.2025;01.02.2026;09.04.2026;;;162401;1
129447;5072;Oeschgen;AG;;;;;;;16.12.2025;17.12.2025;;;;79415;1
859760;5707;Seengen;AG;;;;;x;;20.12.2025;Q1 / 2026;27.02.2026;23.01.2026;EV-Ladestation;128319,174544;2
718040;4324;Obermumpf;AG;;x;14.4;x;;;25.12.2025;08.06.2026;;;;170236;1
165295;4313;Möhlin;AG;x;x;12.69;x;;;12.01.2026;09.11.2026;;;;145883;1
739178;5105;Auenstein;AG;x;;;;;;22.01.2026;08.06.2026;;;;48183;1
885769;4313;Möhlin;AG;;x;14.4;x;x;;26.01.2026;01.03.2026;07.05.2026;;;160725;1
241341;5625;Kallern;AG;x;;;;;;29.01.2026;29.06.2026;;;;27352;1
131858;5443;Niederrohrdorf;AG;;;;;;;30.01.2026;Q1 / 2026;-;26.02.2026;unbekannt (keine Anlage auf dieser Zeile markiert);36513;1
120135;4313;Möhlin;AG;;;;;x;;03.02.2026;-;31.03.2026;;;154632;1
107868;5322;Koblenz;AG;;;;x;;;09.02.2026;Q2 / 2026;17.04.2026;08.04.2026;Batterie;165138,165917;2
194098;5504;Othmarsingen;AG;x;;;;;;10.02.2026;31.08.2026;;;;107115;1
790904;5506;Mägenwil;AG;x;;;;;;12.02.2026;27.04.2026;;;;106074;1
723966;5235;Rüfenach AG;AG;;x;14.4;x;;;19.02.2026;Q2 / 2026;06.05.2026;17.04.2026;PV + Batterie;167230;1
151081;4310;Rheinfelden;AG;;;nur Speicher;x;;;20.02.2026;01.05.2026;22.06.2026;;;101298,101299;2
734540;8962;Bergdietikon;AG;;x;28.8;x;;;20.02.2026;04.05.2026;17.07.2026;;;162821;1
723701;5707;Seengen;AG;;;;;x;;02.03.2026;Q2 / 2026;03.06.2026;17.04.2026;EV-Ladestation;124456;1
164237;5622;Waltenschwil;AG;;;;x;;;14.04.2026;01.07.2026;;;;102550,111698;2
724118;5745;Safenwil;AG;;x;5.88;x;;;24.04.2026;01.06.2026;16.07.2026;;;48901;1
132812;5726;Unterkulm;AG;x;x;17.95;x;x;;26.04.2026;13.07.2026;;;;28930;1
709084;5316;Leuggern;AG;x;;;;;;29.04.2026;29.06.2026;;;;139881;1
742207;5106;Veltheim AG;AG;x;;;;;;02.05.2026;05.10.2026;;;;59424,59944;2
696780;4310;Rheinfelden;AG;;;;x;x;;05.05.2026;03.07.2026;;;;106916;1
226011;5425;Schneisingen;AG;;;;x;;;27.05.2026;09.07.2026;20.07.2026;09.07.2026;Batterie;166421;1
115673;4317;Wegenstetten;AG;x;;;;;;27.05.2026;02.11.2026;;;;128853,128897;2
745464;4317;Wegenstetten;AG;x;x;19.8;x;;;03.06.2026;01.01.2027;;;;134060;1
710570;5070;Frick ;AG;;x;14.55;x;;;08.06.2026;03.08.2026;;;;163457,174310;2
555287;5706;Boniswil;AG;;;;;x;;08.06.2026;01.09.2026;;;;109231;1
185674;5330;Bad Zurzach;AG;x;;;;;;13.06.2026;01.10.2026;;;;46967,46968;2
749578;5504;Othmarsingen;AG;;x;14.36;x;;;17.06.2026;01.08.2026;;;;105237;1
165585;5614;Sarmenstorf;AG;;x;14.55;x;;;22.06.2026;01.09.2026;;;;169752,174543;2
881402;4313;Möhlin;AG;;x;24.25;x;;;25.06.2026;01.09.2026;;;;135366,135369;2
165171;5506;Mägenwil;AG;;x;9.4;x;x;;30.06.2026;08.09.2026;;;;106348,174336;2
867344;4333;Münchwilen AG;AG;x;x;23.27;x;;;06.07.2026;19.10.2026;;;;164073;1
720022;4310;Rheinfelden;AG;;;;;;;14.07.2026;01.09.2026;;;;121149;1
