GP-Nr;PLZ;Ort;Kanton;WärmePumpe; PV;PV-Leistung in kWp ;Batterie/Speicher;Ladestation für Elektrofahrzeuge;Wärmepumpenboiler;Datum Unterschrift;geplanter Baustart;Übergabe;InBetrieb-Datum;InBetrieb-Datum bezieht sich auf;MP IDs;n_meters
171901;5304;Endingen;AG;x;x;;x;-;-;19.07.2021;KW47;21.01.2022;01.12.2021;Wärmepumpe + PV + Batterie;95009;1
117726;4310;Rheinfelden;AG;-;x;;x;-;-;25.07.2021;KW38;06.01.2022;;;54162;1
764446;5707;Seengen;AG;x;-;;-;-;-;27.07.2021;kW 39;24.11.2021;07.10.2021;Wärmepumpe;131063;1
129462;5072;Oeschgen;AG;-;x;;x;-;-;18.08.2021;KW44;08.05.2022;;;63907;1
703415;4310;Rheinfelden;AG;-;x;;x;-;-;19.08.2021;KW13;;;;61179;1
164222;8962;Bergdietikon;AG;x;x;;x;-;-;31.08.2021;11.07.2022;07.11.2022;;;65427;1
198827;5225;Bözberg;AG;-;x;;x;-;-;01.09.2021;KW6;09.12.2022;12.10.2022;PV + Batterie;90815;1
726547;5107;Schinznach Dorf;AG;x;x;;-;-;-;02.09.2021;kW46;28.09.2022;07.09.2022;Wärmepumpe + PV;141983;1
716968;4315;Zuzgen;AG;x;x;;-;-;-;16.09.2021;KW35;16.08.2022;21.06.2022;Wärmepumpe + PV;160715;1
112352;5105;Auenstein;AG;-;x;;x;-;-;19.09.2021;KW49;18.02.2022;;;56399;1
553509;4313;Möhlin;AG;x;x;;-;x;-;26.09.2021;KW2/2022;23.02.2022;13.01.2022;Wärmepumpe + PV + EV-Ladestation;136016;1
727903;5707;Seengen;AG;-;x;;x;-;-;26.10.2021;KW2;07.03.2021;;;141484;1
741254;4316;Hellikon;AG;-;-;;x;-;-;02.11.2021;KW48;-;24.09.2021;Batterie;157156;1
716143;4303;Kaiseraugst;AG;-;x;;-;-;-;11.11.2021;KW49;22.02.2022;;;96737;1
716735;5443;Niederrohrdorf;AG;-;x;;x;-;-;15.11.2021;kW 7/2022;11.05.2022;;;58291;1
694066;5707;Seengen;AG;-;x;;x;-;-;04.12.2021;KW 8/2022;05.04.2022;16.03.2022;PV + Batterie;149167;1
750388;5107;Schinznach Dorf;AG;-;x;;x;x;-;03.01.2022;KW9;06.05.2022;;;147257;1
131436;4313;Möhlin;AG;-;x;;x;-;-;04.01.2022;KW13;24.05.2022;09.02.2022;PV + Batterie;124797,154629;2
593829;5425;Schneisingen;AG;x;x;;x;-;-;04.01.2022;KW29;28.09.2022;16.08.2022;Wärmepumpe + PV + Batterie;170123;1
142012;5074;Eiken;AG;x;-;;-;-;-;16.01.2022;KW 26;16.12.2022;07.09.2022;Wärmepumpe;92041;1
785531;5622;Waltenschwil;AG;x;-;;-;-;-;22.01.2022;KW 42;03.04.2023;;;102128;1
175213;5313;Klingnau;AG;-;x;;-;-;-;23.01.2022;12.05.2022;24.08.2022;;;64806;1
691339;4317;Wegenstetten;AG;-;x;;x;-;-;07.02.2022;Aug;26.08.2023;07.09.2023;PV + Batterie;138577;1
108801;5322;Koblenz;AG;-;-;;x;-;-;10.02.2022;KW17;27.04.2022;11.05.2021;Batterie;168971;1
109103;5322;Koblenz;AG;x;-;;-;;;12.02.2022;kW 34;02.11.2022;;;167808,167809;2
812691;5620;Bremgarten AG;AG;-;-;;-;x;-;15.02.2022;KW10;-;18.11.2019;EV-Ladestation;147332;1
743335;5314;Kleindöttingen;AG;-;x;;x;-;-;15.02.2022;04.07.2022;;;;156525;1
153783;5619;Uezwil;AG;x;-;;-;x;;17.02.2022;kW 34;;21.09.2022;Wärmepumpe + EV-Ladestation;82232;1
192082;5620;Bremgarten AG;AG;-;x;;x;x;-;17.02.2022;KW25;20.06.2023;;;163386;1
163954;4322;Mumpf;AG;-;x;;x;-;-;01.03.2022;kW23 ;15.03.2023;04.04.2022;PV + Batterie;109854;1
711145;4303;Kaiseraugst;AG;-;x;;x;x;-;01.03.2022;KW 28;28.09.2022;20.07.2022;PV + Batterie + EV-Ladestation;96814;1
705057;4317;Wegenstetten;AG;-;x;;-;-;-;01.03.2022;KW38;12.04.2023;18.11.2022;PV;147894,147895;2
732971;4317;Wegenstetten;AG;-;-;;x;-;-;02.03.2022;KW29;-;;;130680;1
151970;5306;Tegerfelden;AG;-;x;;x;-;-;02.03.2022;KW26;31.08.2022;27.07.2022;PV + Batterie;116783;1
723437;4310;Rheinfelden;AG;x;x;;x;-;-;03.03.2022;29.08.2022;;08.11.2022;Wärmepumpe + PV + Batterie;75923;1
145326;5426;Lengnau AG;AG;-;x;;-;x;-;13.03.2022;KW29;27.09.2022;18.08.2022;PV + EV-Ladestation;86955;1
724881;5745;Safenwil;AG;-;x;;-;-;-;16.03.2022;KW28;25.8.22?;08.12.2021;PV;62764;1
692112;8962;Bergdietikon;AG;-;x;;x;-;-;17.03.2022;01.10.2022;24.10.2022;;;65290,66549;2
146807;5106;Veltheim AG;AG;-;x;;x;-;-;18.03.2022;01.08.2022;08.02.2023;10.01.2023;PV + Batterie;69791;1
884000;5107;Schinznach Dorf;AG;-;x;;x;-;-;21.03.2022;kW 24;29.06.2023;;;147142;1
733114;4317;Wegenstetten;AG;-;x;;-;-;-;21.03.2022;KW35;;06.10.2022;PV;125644;1
152557;5070;Frick;AG;-;x;;x;-;-;23.03.2022;KW40;25.01.2023;13.12.2022;PV + Batterie;169451;1
702339;5304;Endingen;AG;x;-;;-;-;-;25.03.2022;;;;;95357,95385;2
129447;5072;Oeschgen;AG;-;x;;x;-;-;26.03.2022;KW32;09.05.2023;11.04.2023;PV + Batterie;79415;1
740230;8962;Bergdietikon;AG;x;x;;x;x;-;26.03.2022;12.06.2023;26.10.2023;23.06.2023;Wärmepumpe + PV + Batterie + EV-Ladestation;60065;1
898693;5504;Othmarsingen;AG;-;x;;-;x;-;28.03.2022;KW32;;22.09.2022;PV + EV-Ladestation;110283;1
195088;4313;Möhlin;AG;-;x;;x;-;-;28.03.2022;KW44;14.02.2023;07.09.2022;PV + Batterie;141982;1
821268;4303;Kaiseraugst;AG;-;-;;-;x;-;29.03.2022;KW48 prov.;-;16.05.2022;EV-Ladestation;120966;1
693106;5706;Boniswil;AG;x;x;;x;;;07.04.2022;Dez.22/ Frühling 2023?;13.03.2023;20.12.2022;Wärmepumpe + PV + Batterie;106333,106335,106336;3
748977;5706;Boniswil;AG;x;x;;x;x;;08.04.2022;;13.03.2023;20.12.2022;Wärmepumpe + PV + Batterie + EV-Ladestation;106334;1
723937;5235;Rüfenach AG;AG;-;x;;x;-;-;08.04.2022;KW49;07.12.2022;09.11.2022;PV + Batterie;120634;1
127600;5235;Rüfenach AG;AG;-;x;;x;-;-;10.04.2022;kW40;11.01.2023;14.12.2022;PV + Batterie;120790;1
697434;5108;Oberflachs;AG;-;x;;x;-;-;13.04.2022;KW 42;25.11.2023;16.12.2022;PV + Batterie;131712;1
136557;4325;Schupfart;AG;-;x;;x;-;-;18.04.2022;KW13;28.07.2023;10.05.2023;PV + Batterie;153288;1
821251;4303;Kaiseraugst;AG;-;-;;-;x;-;20.04.2022;;-;;;120967;1
187258;5106;Veltheim AG;AG;-;x;;x;x;-;23.04.2022;kW42;02.02.2023;30.11.2022;PV + Batterie + EV-Ladestation;66613;1
734850;5614;Sarmenstorf;AG;-;-;;x;-;-;26.04.2022;15.11.2022;-;21.12.2021;Batterie;162637;1
175022;5313;Klingnau;AG;-;-;;x;-;-;27.04.2022;15.11.2022;-;;;56236;1
751926;8962;Bergdietikon;AG;-;x;;x;-;-;28.04.2022;KW2 (KW10);14.08.2023;;;69997;1
707738;5443;Niederrohrdorf;AG;-;x;;-;-;-;29.04.2022;KW45;23.02.2023;;;36783,76690;2
591571;5426;Lengnau AG;AG;-;-;;-;x;-;05.05.2022;KW30;-;;;101874;1
713578;4313;Möhlin;AG;-;x;;x;-;-;05.05.2022;KW40?;07.12.2022;04.09.2022;PV + Batterie;138044;1
712641;4313;Möhlin;AG;-;-;;x;-;-;07.05.2022;17.08.2022;-;07.10.2021;Batterie;157092;1
117726;4310;Rheinfelden;AG;-;-;;x;-;-;08.05.2022;KW37;-;;;54162;1
719912;5235;Rüfenach AG;AG;-;x;;x;-;;31.05.2022;Q1/2023;21.06.2023;30.05.2023;PV + Batterie;120725;1
776146;5452;Oberrohrdorf;AG;x;-;;-;-;-;06.06.2022;Q1/2023;;;;53431;1
707268;5027;Herznach;AG;x;x;;x;-;-;07.06.2022;Q2/2023;;01.05.2020;Wärmepumpe + PV + Batterie;127621;1
759548;8962;Bergdietikon;AG;x;x;;x;;-;09.06.2022;28.11.2022/31.12.22;08.02.2023;24.01.2023;Wärmepumpe + PV + Batterie;65289;1
740351;5107;Schinznach Dorf;AG;-;-;;x;-;-;10.06.2022;17.02.2023;-;10.12.2019;Batterie;137605;1
118609;5607;Hägglingen;AG;-;x;;x;-;-;20.06.2022;Q1/2023;;06.04.2023;PV + Batterie;150083,96945;2
710494;4312;Magden;AG;x;x;;x;-;-;22.06.2022;Q2/2023;;23.08.2023;Wärmepumpe + PV + Batterie;161858;1
750388;5107;Schinznach Dorf;AG;-;-;;x;-;-;28.06.2022;01.08.2022;;;;147257;1
735831;4333;Münchwilen AG;AG;-;x;;x;-;-;28.06.2022;Q2/2023;;05.06.2023;PV + Batterie;160102;1
215480;5504;Othmarsingen;AG;-;x;;-;x;-;11.07.2022;01.04.2023;;16.06.2023;PV + EV-Ladestation;117270;1
690299;4317;Wegenstetten;AG;-;x;;-;-;-;12.07.2022;04.10.2022;-;18.02.2021;PV;142292,142434,147161;3
571965;5464;Rümikon AG;AG;-;-;;-;-;-;13.07.2022;-;;28.11.2019;unbekannt (keine Anlage auf dieser Zeile markiert);63347;1
694753;5620;Bremgarten AG;AG;-;-;;-;x;-;21.07.2022;Ende Sept;-;;;149575;1
745424;5027;Herznach;AG;;x;;x;;;26.07.2022;01.08.2023;;05.06.2023;PV + Batterie;135709;1
741214;4312;Magden;AG;-;-;;x;-;-;29.07.2022;Q4 / 2022;;;;166047;1
174453;5706;Boniswil;AG;-;x;;x;-;-;01.08.2022;01.04.2023;11.05.2023;18.04.2023;PV + Batterie;87853;1
748404;5614;Sarmenstorf;AG;-;-;;-;x;;02.08.2022;15.09.2022/ 31.10.2022;-;27.09.2021;EV-Ladestation;162636;1
215929;5724;Dürrenäsch;AG;-;x;;-;-;-;05.08.2022;Q2 /23 ;31.08.2023;28.07.2023;PV;168217;1
750496;4315;Zuzgen;AG;-;x;;-;x;-;05.08.2022;07.08.2023;;12.09.2023;PV + EV-Ladestation;171818;1
692971;5244;Birrhard;AG;x;-;;-;;;06.08.2022;01.09.2023;30.10.2023;15.09.2023;Wärmepumpe;80353;1
697435;5425;Schneisingen;AG;-;x;;x;x;-;15.08.2022;Sommer 2023;23.10.2023;14.09.2023;PV + Batterie + EV-Ladestation;97798;1
135287;4333;Münchwilen AG;AG;-;-;;x;-;-;18.08.2022;Q1/23;;15.10.2019;Batterie;160101;1
112352;5105;Auenstein;AG;-;-;;-;x;-;21.08.2022;Sofort ;-;;;56399;1
709624;5113;Holderbank AG;AG;-;x;;-;;;30.08.2022;24.07.2023;11.09.2023;02.08.2023;PV;72179;1
146018;4324;Obermumpf;AG;x;x;;x;x;-;04.09.2022;19.06.2023;17.10.2023;07.07.2023;Wärmepumpe + PV + Batterie + EV-Ladestation;146157,146161,146173;3
695851;5452;Oberrohrdorf;AG;-;x;;x;-;-;05.09.2022;01.06.2023;20.11.2023;05.06.2023;PV + Batterie;72083;1
699307;5316;Leuggern;AG;x;-;;-;-;-;08.09.2022;01.04.2023;;;;145815;1
722853;4315;Zuzgen;AG;-;x;;x;x;-;10.09.2022;02.10.2023;23.11.2024;23.10.2023;PV + Batterie + EV-Ladestation;160358;1
704806;4316;Hellikon;AG;-;x;;-;-;-;11.09.2022;01.01.2023;05.04.2023;20.12.2022;PV;150127;1
