gp_nr;n_meters;n_meters_with_data;meter_max_winter_summer_ratio;meter_min_summer_share;n_heat_pump_like_meters;n_production_only_meters;meter_max_imp_kwh;meter_min_imp_kwh;household_imp_kwh;household_exp_kwh;is_winter_dominant;has_dedicated_hp_meter;has_production_only_meter;is_multi_meter;is_multi_unit;meter_concentration
585660;1;1;6.348338813451151;0.13608517862152703;1;0;9770.207996964455;9770.207996964455;9770.207996964455;20046.12904463662;1;0;0;0;0;1.0
585704;3;3;5.838856756690532;0.14622327028880794;2;0;21882.48499107361;1573.922999382019;36279.23999360204;18791.33693151537;1;1;0;1;0;0.6031682305068313
591571;1;1;3.834098053509649;0.20686382215064517;0;0;28150.08390688896;28150.08390688896;28150.08390688896;26734.433873064816;0;0;0;0;0;1.0
593829;1;1;;1.0;0;1;3.591000040993095;3.591000040993095;3.591000040993095;3787.7171323299413;0;0;1;0;0;1.0
594379;1;1;;1.0;0;0;590.4909978806973;590.4909978806973;590.4909978806973;4884.326896429062;0;0;0;0;0;1.0
595687;1;1;12.827361832843081;0.07232037550538209;1;0;4614.8930187840015;4614.8930187840015;4614.8930187840015;9350.233090438414;1;0;0;0;0;1.0
688436;3;3;1.2993258259250782;0.43491008917697604;0;1;11819.258005142212;0.0;12549.47900223732;52091.87731933594;0;0;1;1;0;0.9418126444161606
689836;1;1;10.708020081010964;0.08541153782456205;1;0;12946.043942809105;12946.043942809105;12946.043942809105;33094.69198874198;1;0;0;0;0;1.0
690299;3;3;11.993723737220334;0.0769602325109864;1;0;4102.284008264542;1174.4900025725365;7997.786002397537;6595.20390856266;1;1;0;1;0;0.5129274535521179
691339;1;1;3.3152912262148155;0.23173407021179337;0;0;2802.5100015103817;2802.5100015103817;2802.5100015103817;18776.53224280663;0;0;0;0;0;1.0
692112;2;2;8.712026836333708;0.10296511910973058;1;0;10874.349981069565;6931.511007413268;17805.860988482833;10411.121956066578;1;1;0;1;0;0.6107174479292689
692126;1;1;5.208535848990852;0.16106857145111628;1;0;3943.3540194034576;3943.3540194034576;3943.3540194034576;7709.177985267248;1;0;0;0;0;1.0
692320;1;1;36.35801370404702;0.026768018447717132;1;0;15917.344042003155;15917.344042003155;15917.344042003155;10082.18096221576;1;0;0;0;0;1.0
692466;2;2;11.717536176720625;0.07863158288713927;1;1;32981.301886200905;0.0910000043222671;32981.39288620523;23299.71494250628;1;1;1;1;0;0.9999972408683697
692550;1;1;6.3239118224343285;0.1365390551176269;1;0;18403.23801994417;18403.23801994417;18403.23801994417;13899.28300630895;1;0;0;0;0;1.0
692590;1;1;12.45123670615858;0.0743426066944577;1;0;33028.39797320962;33028.39797320962;33028.39797320962;19651.133918426;1;0;0;0;0;1.0
692712;1;1;1.8322452550533517;0.35307676770427243;0;0;18584.06894683838;18584.06894683838;18584.06894683838;31560.115894354996;0;0;0;0;0;1.0
692971;1;1;2.2429994706017498;0.30835651040499445;0;0;33732.88697385788;33732.88697385788;33732.88697385788;0.0;0;0;0;0;0;1.0
693106;3;3;35.53154171401953;0.027373605193788873;2;0;25945.982968091965;7884.040991783142;54893.11296829581;27071.37606753374;1;1;0;1;0;0.47266371981995964
694066;1;1;162.37710531611674;0.006120808653483669;1;0;9752.514008753002;9752.514008753002;9752.514008753002;6785.362914599595;1;0;0;0;0;1.0
694569;2;2;4.743872379988474;0.17409857563757478;1;0;31485.841102719307;22568.58803046029;54054.4291331796;18378.85408440628;1;1;0;1;0;0.5824840185647752
694753;1;1;133.10756240267276;0.007456701039702666;1;0;4244.0759830307215;4244.0759830307215;4244.0759830307215;6849.468996560201;1;0;0;0;0;1.0
695851;1;1;8.076040156462854;0.11018020885329835;1;0;35318.18495899439;35318.18495899439;35318.18495899439;29480.818969901302;1;0;0;0;0;1.0
696579;1;1;;1.0;0;1;12.58999964594841;12.58999964594841;12.58999964594841;262.17799282073975;0;0;1;0;0;1.0
696780;1;1;3.70917716520217;0.21235132272987417;0;0;33902.967933766544;33902.967933766544;33902.967933766544;17420.083917476935;0;0;0;0;0;1.0
696935;2;2;6.636405524721684;0.13095166263272093;1;0;33655.70480823517;10956.305001974106;44612.009810209274;34055.68808100931;1;1;0;1;0;0.7544090694728844
697434;1;1;24.102636514377103;0.03983645301270515;1;0;7633.194981563836;7633.194981563836;7633.194981563836;13013.345711785369;1;0;0;0;0;1.0
697435;1;1;23.78358449589092;0.04034928846413635;1;0;5887.124046653509;5887.124046653509;5887.124046653509;17207.1729021013;1;0;0;0;0;1.0
698929;1;1;;1.0;0;1;13.31699999049306;13.31699999049306;13.31699999049306;1374.6979866027832;0;0;1;0;0;1.0
698970;1;1;16.263074373249093;0.05792710952746648;1;0;10984.413975417614;10984.413975417614;10984.413975417614;13410.145091224462;1;0;0;0;0;1.0
699307;1;1;2.734015416065123;0.26780821410046357;0;0;15780.053952217102;15780.053952217102;15780.053952217102;0.0;0;0;0;0;0;1.0
700296;2;2;28.243617656535285;0.03419549563754205;1;0;943.9439919507131;736.8329930305481;1680.7769849812612;11826.218057363876;1;1;0;1;0;0.5616116833972694
700623;1;1;6.659289821899459;0.13056040745981407;1;0;22550.472920179367;22550.472920179367;22550.472920179367;41297.79700143356;1;0;0;0;0;1.0
700810;1;1;;1.0;0;1;38.79599949717521;38.79599949717521;38.79599949717521;1660.6789919137955;0;0;1;0;0;1.0
701696;1;1;5.992150925183437;0.14301750787419756;1;0;9391.71903014183;9391.71903014183;9391.71903014183;62892.98509207368;1;0;0;0;0;1.0
702016;1;1;7.381055339537;0.11931671603247565;1;0;9332.282945632935;9332.282945632935;9332.282945632935;12026.898976399563;1;0;0;0;0;1.0
