plz,n_pv_plants,n_meters,pv_rate_raw,pv_rate
5600,242.0,398.0,0.6080402010050251,0.552474914715589
5604,66.0,32.0,2.0625,0.8720580706412667
5605,115.0,1677.0,0.06857483601669648,0.06977924828754133
5607,140.0,1431.0,0.09783368273934312,0.09825034557230511
5608,62.0,1297.0,0.047802621434078645,0.05011786324616471
5614,140.0,1585.0,0.08832807570977919,0.0889961845826201
5615,106.0,814.0,0.13022113022113022,0.12906106688956467
5616,119.0,149.0,0.7986577181208053,0.6256721698119793
5617,27.0,319.0,0.08463949843260188,0.08809962545415682
5618,45.0,1.0,45.0,0.95
5619,88.0,274.0,0.32116788321167883,0.28860728948328357
5620,118.0,4700.0,0.025106382978723404,0.026001844587912392
5621,161.0,10.0,16.1,0.95
5622,133.0,1663.0,0.07997594708358388,0.08085742077792403
5623,100.0,11.0,9.090909090909092,0.95
5625,18.0,176.0,0.10227272727272728,0.10402106987868968
5630,338.0,4.0,84.5,0.95
5643,110.0,5.0,22.0,0.95
5705,31.0,139.0,0.22302158273381295,0.19316805181261307
5706,87.0,999.0,0.08708708708708708,0.08818757082229157
5707,198.0,2397.0,0.08260325406758448,0.08316663743056145
5724,81.0,648.0,0.125,0.12393805414410296
5725,61.0,380.0,0.16052631578947368,0.15467153905252062
5726,113.0,2063.0,0.054774600096946194,0.05608554746454513
5727,90.0,1660.0,0.05421686746987952,0.05585307707168647
5728,92.0,2.0,46.0,0.95
5733,33.0,265.0,0.12452830188679245,0.12225003743677419
5745,166.0,2563.0,0.0647678501755755,0.06563672475797316
8918,63.0,11.0,5.7272727272727275,0.95
8962,128.0,1640.0,0.07804878048780488,0.07899926733288987
8964,125.0,1.0,125.0,0.95
8967,105.0,28.0,3.75,0.95
8953,0.0,31.0,0.0,0.06800940484671442
4468,0.0,285.0,0.0,0.016444065052489156
4302,0.0,2.0,0.0,0.105937726780459
4469,0.0,5.0,0.0,0.10015930531970668
4304,0.0,1.0,0.0,0.1080149371094876
4422,0.0,1.0,0.0,0.1080149371094876
5001,0.0,1.0,0.0,0.1080149371094876
