amplitude_kw,minimum_duration_hours,family,weekly_score_cutoff,minimum_evidence_weeks,score_floor,flagged,new_positive_overrides,accuracy,balanced_accuracy,pr_auc,precision,recall,f1,brier
1.5,1.5,block,0.9,4,0.9,52,31,0.3283582089552239,0.5491913746630728,0.1867912321642461,0.22807017543859648,0.9285714285714286,0.36619718309859156,0.5513908856820515
1.5,1.5,block,0.95,1,0.7,48,29,0.3582089552238806,0.5680592991913747,0.49494353296874294,0.23636363636363636,0.9285714285714286,0.37681159420289856,0.33656686651327367
1.5,1.5,block,0.95,1,0.9,48,29,0.3582089552238806,0.5680592991913747,0.20070276523307737,0.23636363636363636,0.9285714285714286,0.37681159420289856,0.5107209412367143
1.5,1.5,block,0.95,2,0.7,43,26,0.373134328358209,0.5512129380053908,0.49722441375717275,0.23076923076923078,0.8571428571428571,0.36363636363636365,0.32067589668867386
1.5,1.5,block,0.95,2,0.9,43,26,0.373134328358209,0.5512129380053908,0.2040314494678629,0.23076923076923078,0.8571428571428571,0.36363636363636365,0.4769195236509205
1.5,1.5,block,0.95,3,0.7,38,23,0.417910447761194,0.5795148247978437,0.5089752630925862,0.24489795918367346,0.8571428571428571,0.38095238095238093,0.2955004706234289
1.5,1.5,block,0.95,3,0.9,38,23,0.417910447761194,0.5795148247978437,0.22569150424491768,0.24489795918367346,0.8571428571428571,0.38095238095238093,0.42786350057075007
1.5,1.5,block,0.95,4,0.7,26,16,0.4925373134328358,0.6004043126684636,0.5107703154994524,0.2619047619047619,0.7857142857142857,0.39285714285714285,0.2701604045690687
1.5,1.5,block,0.95,4,0.9,26,16,0.4925373134328358,0.6004043126684636,0.22825069032529052,0.2619047619047619,0.7857142857142857,0.39285714285714285,0.3646708540651785
1.5,1.5,plateau,0.85,1,0.7,17,13,0.5671641791044776,0.6738544474393531,0.5269875333583316,0.3076923076923077,0.8571428571428571,0.4528301886792453,0.23563002700855926
1.5,1.5,plateau,0.85,1,0.9,17,13,0.5671641791044776,0.6738544474393531,0.2533623857054837,0.3076923076923077,0.8571428571428571,0.4528301886792453,0.3001019002771474
1.5,1.5,plateau,0.85,2,0.7,4,3,0.6865671641791045,0.7230458221024259,0.5637846008412017,0.3793103448275862,0.7857142857142857,0.5116279069767442,0.18681103784652395
1.5,1.5,plateau,0.85,2,0.9,4,3,0.6865671641791045,0.7230458221024259,0.3858522157659595,0.3793103448275862,0.7857142857142857,0.5116279069767442,0.20061061305345565
1.5,1.5,plateau,0.85,3,0.7,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.85,3,0.9,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.85,4,0.7,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.85,4,0.9,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.9,1,0.7,6,6,0.6417910447761194,0.694743935309973,0.5462571806065873,0.34375,0.7857142857142857,0.4782608695652174,0.2027250643598992
1.5,1.5,plateau,0.9,1,0.9,6,6,0.6417910447761194,0.694743935309973,0.3135256264464618,0.34375,0.7857142857142857,0.4782608695652174,0.23138178077780966
1.5,1.5,plateau,0.9,2,0.7,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.9,2,0.9,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.9,3,0.7,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.9,3,0.9,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.9,4,0.7,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.9,4,0.9,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.95,1,0.7,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.95,1,0.9,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.95,2,0.7,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.95,2,0.9,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.95,3,0.7,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.95,3,0.9,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.95,4,0.7,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,plateau,0.95,4,0.9,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,1.5,repeat,0.85,1,0.7,56,34,0.31343283582089554,0.5660377358490566,0.4875717148343849,0.23333333333333334,1.0,0.3783783783783784,0.36445970103564956
1.5,1.5,repeat,0.85,1,0.9,56,34,0.31343283582089554,0.5660377358490566,0.1885189721402111,0.23333333333333334,1.0,0.3783783783783784,0.5708525817292395
1.5,1.5,repeat,0.85,2,0.7,55,33,0.29850746268656714,0.5303234501347709,0.4813203437009811,0.22033898305084745,0.9285714285714286,0.3561643835616438,0.37250166952344077
1.5,1.5,repeat,0.85,2,0.9,55,33,0.29850746268656714,0.5303234501347709,0.17763580768561807,0.22033898305084745,0.9285714285714286,0.3561643835616438,0.580088580067777
1.5,1.5,repeat,0.85,3,0.7,51,29,0.3283582089552239,0.522911051212938,0.48190313335863044,0.21818181818181817,0.8571428571428571,0.34782608695652173,0.3596688599620572
1.5,1.5,repeat,0.85,3,0.9,51,29,0.3283582089552239,0.522911051212938,0.1769737595771875,0.21818181818181817,0.8571428571428571,0.34782608695652173,0.5541214421481845
1.5,1.5,repeat,0.85,4,0.7,50,28,0.34328358208955223,0.532345013477089,0.48350296609053867,0.2222222222222222,0.8571428571428571,0.35294117647058826,0.3542633826261239
1.5,1.5,repeat,0.85,4,0.9,50,28,0.34328358208955223,0.532345013477089,0.17983118968766976,0.2222222222222222,0.8571428571428571,0.35294117647058826,0.5439398454092661
1.5,1.5,repeat,0.9,1,0.7,55,33,0.3283582089552239,0.5754716981132075,0.48968116730835176,0.23728813559322035,1.0,0.3835616438356164,0.35755521574432214
1.5,1.5,repeat,0.9,1,0.9,55,33,0.3283582089552239,0.5754716981132075,0.1918973408591119,0.23728813559322035,1.0,0.3835616438356164,0.559171977034927
1.5,1.5,repeat,0.9,2,0.7,54,32,0.31343283582089554,0.5397574123989218,0.4833221060656566,0.22413793103448276,0.9285714285714286,0.3611111111111111,0.3655971842321133
1.5,1.5,repeat,0.9,2,0.9,54,32,0.31343283582089554,0.5397574123989218,0.18083292857647926,0.22413793103448276,0.9285714285714286,0.3611111111111111,0.5684079753734645
