direction,amplitude_kw,minimum_duration_hours,rise_kw_per_15min,relative_mad_max,paired_edge_required,minimum_events,minimum_evidence_weeks,score_floor,score_ceiling,evidence_flags,changed_predictions,accuracy,balanced_accuracy,pr_auc,precision,recall,f1,brier
negative_veto,1.5,1.5,1.0,0.4,True,2,2,0.9,0.3,59,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,1.0,0.4,True,2,2,0.9,0.1,59,4,0.6716417910447762,0.6084905660377358,0.4078640367630305,0.3181818181818182,0.5,0.3888888888888889,0.20893029187358564
two_way,1.5,1.5,1.0,0.4,True,2,2,0.7,0.3,59,41,0.208955223880597,0.3948787061994609,0.3694646220069948,0.1694915254237288,0.7142857142857143,0.273972602739726,0.40469192385236125
two_way,1.5,1.5,1.0,0.4,True,2,2,0.9,0.3,59,41,0.208955223880597,0.3948787061994609,0.1845574387947269,0.1694915254237288,0.7142857142857143,0.273972602739726,0.6254131627549064
two_way,1.5,1.5,1.0,0.4,True,2,2,0.9,0.1,59,41,0.208955223880597,0.3948787061994609,0.18167143590872403,0.1694915254237288,0.7142857142857143,0.273972602739726,0.6427748090806172
positive_rescue,1.5,1.5,1.0,0.4,True,3,1,0.7,0.3,59,37,0.26865671641791045,0.5377358490566038,0.4816557065272786,0.2222222222222222,1.0,0.36363636363636365,0.38299512241271066
positive_rescue,1.5,1.5,1.0,0.4,True,3,1,0.9,0.3,59,37,0.26865671641791045,0.5377358490566038,0.1790621100445066,0.2222222222222222,1.0,0.36363636363636365,0.6037163613152559
positive_rescue,1.5,1.5,1.0,0.4,True,3,1,0.9,0.1,59,37,0.26865671641791045,0.5377358490566038,0.1790621100445066,0.2222222222222222,1.0,0.36363636363636365,0.6037163613152559
negative_veto,1.5,1.5,1.0,0.4,True,3,1,0.7,0.3,59,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,1.0,0.4,True,3,1,0.9,0.3,59,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,1.0,0.4,True,3,1,0.9,0.1,59,4,0.6716417910447762,0.6084905660377358,0.4078640367630305,0.3181818181818182,0.5,0.3888888888888889,0.20893029187358564
two_way,1.5,1.5,1.0,0.4,True,3,1,0.7,0.3,59,41,0.208955223880597,0.3948787061994609,0.3694646220069948,0.1694915254237288,0.7142857142857143,0.273972602739726,0.40469192385236125
two_way,1.5,1.5,1.0,0.4,True,3,1,0.9,0.3,59,41,0.208955223880597,0.3948787061994609,0.1845574387947269,0.1694915254237288,0.7142857142857143,0.273972602739726,0.6254131627549064
two_way,1.5,1.5,1.0,0.4,True,3,1,0.9,0.1,59,41,0.208955223880597,0.3948787061994609,0.18167143590872403,0.1694915254237288,0.7142857142857143,0.273972602739726,0.6427748090806172
positive_rescue,1.5,1.5,1.0,0.4,True,3,2,0.7,0.3,59,37,0.26865671641791045,0.5377358490566038,0.4816557065272786,0.2222222222222222,1.0,0.36363636363636365,0.38299512241271066
positive_rescue,1.5,1.5,1.0,0.4,True,3,2,0.9,0.3,59,37,0.26865671641791045,0.5377358490566038,0.1790621100445066,0.2222222222222222,1.0,0.36363636363636365,0.6037163613152559
positive_rescue,1.5,1.5,1.0,0.4,True,3,2,0.9,0.1,59,37,0.26865671641791045,0.5377358490566038,0.1790621100445066,0.2222222222222222,1.0,0.36363636363636365,0.6037163613152559
negative_veto,1.5,1.5,1.0,0.4,True,3,2,0.7,0.3,59,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,1.0,0.4,True,3,2,0.9,0.3,59,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,1.0,0.4,True,3,2,0.9,0.1,59,4,0.6716417910447762,0.6084905660377358,0.4078640367630305,0.3181818181818182,0.5,0.3888888888888889,0.20893029187358564
two_way,1.5,1.5,1.0,0.4,True,3,2,0.7,0.3,59,41,0.208955223880597,0.3948787061994609,0.3694646220069948,0.1694915254237288,0.7142857142857143,0.273972602739726,0.40469192385236125
two_way,1.5,1.5,1.0,0.4,True,3,2,0.9,0.3,59,41,0.208955223880597,0.3948787061994609,0.1845574387947269,0.1694915254237288,0.7142857142857143,0.273972602739726,0.6254131627549064
two_way,1.5,1.5,1.0,0.4,True,3,2,0.9,0.1,59,41,0.208955223880597,0.3948787061994609,0.18167143590872403,0.1694915254237288,0.7142857142857143,0.273972602739726,0.6427748090806172
positive_rescue,1.5,1.5,2.0,0.2,False,2,1,0.7,0.3,58,36,0.2835820895522388,0.5471698113207547,0.48356239904740317,0.22580645161290322,1.0,0.3684210526315789,0.37639703342313247
positive_rescue,1.5,1.5,2.0,0.2,False,2,1,0.9,0.3,58,36,0.2835820895522388,0.5471698113207547,0.18210712962227488,0.22580645161290322,1.0,0.3684210526315789,0.5923421529226927
positive_rescue,1.5,1.5,2.0,0.2,False,2,1,0.9,0.1,58,36,0.2835820895522388,0.5471698113207547,0.18210712962227488,0.22580645161290322,1.0,0.3684210526315789,0.5923421529226927
negative_veto,1.5,1.5,2.0,0.2,False,2,1,0.7,0.3,58,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,2.0,0.2,False,2,1,0.9,0.3,58,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,2.0,0.2,False,2,1,0.9,0.1,58,4,0.6716417910447762,0.6084905660377358,0.4081489911703253,0.3181818181818182,0.5,0.3888888888888889,0.2083642017586862
two_way,1.5,1.5,2.0,0.2,False,2,1,0.7,0.3,58,40,0.22388059701492538,0.40431266846361186,0.37174108798135497,0.1724137931034483,0.7142857142857143,0.2777777777777778,0.39809383486278305
two_way,1.5,1.5,2.0,0.2,False,2,1,0.9,0.3,58,40,0.22388059701492538,0.40431266846361186,0.187668838391864,0.1724137931034483,0.7142857142857143,0.2777777777777778,0.6140389543623431
two_way,1.5,1.5,2.0,0.2,False,2,1,0.9,0.1,58,40,0.22388059701492538,0.40431266846361186,0.18375876996566654,0.1724137931034483,0.7142857142857143,0.2777777777777778,0.6308345105731545
positive_rescue,1.5,1.5,2.0,0.2,False,2,2,0.7,0.3,58,36,0.2835820895522388,0.5471698113207547,0.48356239904740317,0.22580645161290322,1.0,0.3684210526315789,0.37639703342313247
positive_rescue,1.5,1.5,2.0,0.2,False,2,2,0.9,0.3,58,36,0.2835820895522388,0.5471698113207547,0.18210712962227488,0.22580645161290322,1.0,0.3684210526315789,0.5923421529226927
positive_rescue,1.5,1.5,2.0,0.2,False,2,2,0.9,0.1,58,36,0.2835820895522388,0.5471698113207547,0.18210712962227488,0.22580645161290322,1.0,0.3684210526315789,0.5923421529226927
negative_veto,1.5,1.5,2.0,0.2,False,2,2,0.7,0.3,58,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,2.0,0.2,False,2,2,0.9,0.3,58,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,2.0,0.2,False,2,2,0.9,0.1,58,4,0.6716417910447762,0.6084905660377358,0.4081489911703253,0.3181818181818182,0.5,0.3888888888888889,0.2083642017586862
two_way,1.5,1.5,2.0,0.2,False,2,2,0.7,0.3,58,40,0.22388059701492538,0.40431266846361186,0.37174108798135497,0.1724137931034483,0.7142857142857143,0.2777777777777778,0.39809383486278305
two_way,1.5,1.5,2.0,0.2,False,2,2,0.9,0.3,58,40,0.22388059701492538,0.40431266846361186,0.187668838391864,0.1724137931034483,0.7142857142857143,0.2777777777777778,0.6140389543623431
two_way,1.5,1.5,2.0,0.2,False,2,2,0.9,0.1,58,40,0.22388059701492538,0.40431266846361186,0.18375876996566654,0.1724137931034483,0.7142857142857143,0.2777777777777778,0.6308345105731545
positive_rescue,1.5,1.5,2.0,0.2,False,3,1,0.7,0.3,57,35,0.29850746268656714,0.5566037735849056,0.4855333019565147,0.22950819672131148,1.0,0.37333333333333335,0.36915050394537624
positive_rescue,1.5,1.5,2.0,0.2,False,3,1,0.9,0.3,57,35,0.29850746268656714,0.5566037735849056,0.18525755937303762,0.22950819672131148,1.0,0.37333333333333335,0.5803195040419512
positive_rescue,1.5,1.5,2.0,0.2,False,3,1,0.9,0.1,57,35,0.29850746268656714,0.5566037735849056,0.18525755937303762,0.22950819672131148,1.0,0.37333333333333335,0.5803195040419512
negative_veto,1.5,1.5,2.0,0.2,False,3,1,0.7,0.3,57,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,2.0,0.2,False,3,1,0.9,0.3,57,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,2.0,0.2,False,3,1,0.9,0.1,57,4,0.6716417910447762,0.6084905660377358,0.4081489911703253,0.3181818181818182,0.5,0.3888888888888889,0.2083642017586862
two_way,1.5,1.5,2.0,0.2,False,3,1,0.7,0.3,57,39,0.23880597014925373,0.4137466307277628,0.37409507374994866,0.17543859649122806,0.7142857142857143,0.28169014084507044,0.3908473053850268
two_way,1.5,1.5,2.0,0.2,False,3,1,0.9,0.3,57,39,0.23880597014925373,0.4137466307277628,0.19088705369982334,0.17543859649122806,0.7142857142857143,0.28169014084507044,0.6020163054816018
